Date,Open,High,Low,Close,Volume
2014-01-02,49.08,49.23,48.95,49.0,9.27
2014-01-03,49.33,49.33,48.22,48.42,12.022
2014-01-06,48.77,49.07,48.2,48.69,16.055
2014-01-07,49.12,49.4,48.58,49.3,17.595
2014-01-08,48.69,49.07,48.36,48.5,13.111
2014-01-09,48.43,48.51,47.49,47.5,14.567
2014-01-10,47.84,48.09,47.43,47.75,11.446
2014-01-13,47.65,47.75,46.95,47.03,18.784
2014-01-14,47.04,47.23,46.58,47.08,19.271
2014-01-15,47.35,48.38,47.28,48.27,21.722
2014-01-16,48.26,48.66,47.95,48.53,14.193
2014-01-17,48.66,48.69,48.0,48.35,15.989
2014-01-21,48.84,48.9,46.76,47.7,33.166
2014-01-22,47.44,47.52,47.09,47.33,17.976
2014-01-23,47.06,47.86,46.94,47.86,22.638
2014-01-24,47.61,48.51,47.51,47.63,25.666
2014-01-27,47.71,48.36,47.41,47.69,21.419
2014-01-28,47.67,47.87,47.33,47.36,16.345
2014-01-29,47.0,47.98,46.69,47.69,24.966
2014-01-30,47.77,48.09,47.55,47.63,14.442
2014-01-31,47.1,48.5,47.02,48.02,18.537
2014-02-03,48.02,48.02,46.22,46.41,36.115
2014-02-04,46.29,46.83,46.11,46.82,22.706
2014-02-05,46.73,46.9,46.31,46.69,19.732
2014-02-06,46.62,46.88,46.38,46.68,17.564
2014-02-07,46.89,46.98,46.58,46.81,13.376
2014-02-10,46.81,46.95,46.18,46.91,12.412
2014-02-11,47.04,47.37,46.91,47.21,16.222
2014-02-12,47.44,47.44,47.06,47.37,23.454
2014-02-13,47.24,47.46,47.0,47.31,18.834
2014-02-14,47.14,47.14,46.42,46.51,26.252
2014-02-18,46.47,46.5,45.45,45.98,34.913
2014-02-19,45.74,46.84,45.56,46.53,34.095
2014-02-20,46.81,48.34,46.75,48.12,48.975
2014-02-21,47.55,48.25,47.18,47.27,60.809
2014-02-24,47.02,47.2,46.23,46.23,616.62
2014-02-25,46.42,46.76,46.19,46.29,145.797
2014-02-26,46.09,46.5,45.89,46.35,102.687
2014-02-27,46.34,47.78,46.28,47.5,139.434
2014-02-28,47.45,47.76,47.21,47.58,62.309
2014-03-03,47.3,47.68,46.82,47.31,60.288
2014-03-04,47.54,48.39,47.47,47.9,52.231
2014-03-05,47.82,47.87,47.34,47.38,40.016
2014-03-06,47.46,47.53,47.25,47.46,30.857
2014-03-07,47.41,47.43,46.86,47.15,41.073
2014-03-10,46.79,47.06,46.5,47.03,32.385
2014-03-11,46.73,46.79,46.36,46.7,42.626
2014-03-12,46.57,46.61,46.13,46.36,45.522
2014-03-13,46.35,46.56,45.96,46.03,35.184
2014-03-14,45.84,46.27,45.83,46.08,27.874
2014-03-17,46.22,46.52,46.1,46.31,26.394
2014-03-18,46.32,46.75,46.2,46.7,26.374
2014-03-19,46.63,46.99,46.19,46.36,35.065
2014-03-20,46.41,47.25,46.26,47.21,31.613
2014-03-21,47.3,47.41,46.7,46.91,38.717
2014-03-24,46.81,47.1,46.38,47.01,34.926
2014-03-25,47.02,47.36,46.77,47.22,23.582
2014-03-26,47.4,47.66,47.01,47.01,24.377
2014-03-27,46.98,47.7,46.97,47.69,32.56
2014-03-28,47.63,47.93,47.15,47.42,25.7
2014-03-31,47.66,47.83,47.5,47.57,20.744
2014-04-01,47.54,47.78,47.2,47.75,19.713
2014-04-02,47.66,48.18,47.63,47.82,25.156
2014-04-03,47.94,48.17,47.61,48.12,19.321
