Date,Open,High,Low,Close,Volume
2014-01-02,46.1,46.12,45.27,45.53,1.749
2014-01-03,45.53,45.87,45.21,45.26,1.593
2014-01-06,45.46,45.48,44.55,44.7,2.024
2014-01-07,44.44,44.78,44.26,44.43,2.291
2014-01-08,44.46,44.79,43.04,43.23,4.981
2014-01-09,43.45,43.49,42.72,43.3,2.513
2014-01-10,43.44,43.53,42.73,42.93,2.575
2014-01-13,42.68,42.96,41.53,41.61,2.771
2014-01-14,41.61,42.41,41.6,42.23,3.057
2014-01-15,42.48,42.48,42.04,42.24,2.007
2014-01-16,42.28,42.57,41.79,41.91,2.886
2014-01-17,41.75,42.11,41.16,41.34,2.967
2014-01-21,41.62,41.62,40.85,41.19,3.276
2014-01-22,41.21,41.44,40.97,41.12,4.008
2014-01-23,40.8,41.02,40.47,40.92,4.795
2014-01-24,40.86,40.86,40.36,40.36,4.692
2014-01-27,40.39,40.57,39.24,39.5,4.707
2014-01-28,39.43,39.94,39.42,39.84,3.362
2014-01-29,39.45,40.26,39.19,40.05,5.131
2014-01-30,40.32,41.81,40.0,41.05,5.303
2014-01-31,40.51,41.34,40.4,40.77,3.431
2014-02-03,40.05,40.97,39.72,39.88,3.986
2014-02-04,39.92,40.51,39.5,39.87,2.416
2014-02-05,39.51,40.85,39.42,40.57,3.999
2014-02-06,40.81,42.03,40.39,41.87,4.277
2014-02-07,41.98,42.49,41.83,42.29,3.061
2014-02-10,42.19,42.34,42.01,42.1,3.027
2014-02-11,41.92,42.91,41.92,42.29,2.566
2014-02-12,42.84,42.84,41.98,42.34,3.552
2014-02-13,40.28,41.39,40.09,40.52,7.343
2014-02-14,40.64,41.72,40.37,41.3,3.868
2014-02-18,41.41,41.71,40.91,41.05,4.027
2014-02-19,41.05,42.05,40.96,41.46,2.716
2014-02-20,41.56,42.22,41.56,42.12,2.599
2014-02-21,42.2,42.43,41.72,42.31,2.615
2014-02-24,42.31,42.6,42.12,42.14,2.942
2014-02-25,42.08,42.31,41.05,41.74,2.401
