Date,Open,High,Low,Close,Volume
2014-01-02,82.28,83.06,80.55,81.77,1.059
2014-01-03,82.1,82.63,81.11,82.47,0.529
2014-01-06,82.42,85.37,82.09,84.59,2.092
2014-01-07,85.86,89.3,85.71,88.13,2.768
2014-01-08,88.25,89.12,87.88,89.0,1.383
2014-01-09,89.01,89.83,87.78,88.84,0.987
2014-01-10,88.53,89.9,88.28,89.69,0.869
2014-01-13,89.79,90.64,87.52,87.88,1.44
2014-01-14,87.42,91.44,87.4,91.29,1.834
2014-01-15,91.95,92.0,90.15,90.84,3.913
2014-01-16,90.95,94.21,90.8,94.0,1.871
2014-01-17,93.98,94.55,92.11,92.48,1.083
2014-01-21,93.45,94.14,91.89,93.15,0.875
2014-01-22,93.36,93.74,92.08,92.32,0.566
2014-01-23,91.8,92.09,89.93,91.49,1.08
2014-01-24,90.59,90.89,88.88,88.99,0.868
2014-01-27,89.2,89.56,85.03,87.09,1.78
2014-01-28,87.11,88.59,86.15,87.59,1.172
2014-01-29,87.6,88.29,86.11,86.2,0.995
2014-01-30,87.47,91.59,87.21,89.77,1.389
2014-01-31,88.8,90.88,88.32,89.54,0.891
2014-02-03,89.54,91.45,86.06,87.94,1.387
2014-02-04,88.1,88.95,87.58,88.62,0.883
2014-02-05,88.1,90.06,88.0,88.59,1.082
2014-02-06,89.96,91.68,89.77,90.7,0.864
2014-02-07,91.25,93.68,89.56,92.56,1.42
2014-02-10,92.58,93.43,91.54,92.0,0.869
2014-02-11,92.5,96.05,91.78,95.87,1.262
2014-02-12,95.87,96.53,94.71,94.97,0.945
2014-02-13,94.34,98.55,94.16,98.32,0.868
2014-02-14,98.2,98.28,96.25,96.8,1.088
2014-02-18,97.51,98.48,96.67,97.35,1.12
2014-02-19,97.24,98.0,96.76,97.54,1.054
2014-02-20,97.35,98.46,96.34,98.2,0.861
2014-02-21,98.82,101.58,98.69,100.45,1.597
2014-02-24,101.29,101.5,99.71,100.36,1.008
2014-02-25,101.15,102.26,97.55,98.75,1.859
2014-02-26,100.0,100.7,98.74,100.28,2.056
2014-02-27,106.41,116.47,105.28,115.47,6.416
2014-02-28,115.93,116.4,104.44,109.92,6.084
2014-03-03,107.26,107.76,104.52,106.3,2.635
2014-03-04,108.11,109.88,107.34,109.08,1.37
2014-03-05,109.11,109.11,105.77,107.03,1.591
2014-03-06,107.59,107.79,103.58,104.79,1.498
2014-03-07,105.58,105.58,101.15,102.08,1.827
2014-03-10,102.01,102.45,99.53,100.95,1.953
2014-03-11,101.39,103.7,100.1,100.91,1.624
2014-03-12,100.11,102.89,98.76,102.63,1.396
2014-03-13,103.82,104.93,100.12,101.21,2.038
2014-03-14,100.71,102.11,99.33,100.91,1.256
2014-03-17,101.57,102.91,100.27,101.57,1.116
2014-03-18,101.72,104.96,100.43,104.25,1.719
2014-03-19,104.25,105.48,101.05,102.05,1.245
2014-03-20,101.84,102.65,100.03,100.15,1.288
2014-03-21,101.0,101.35,96.93,97.1,2.072
2014-03-24,97.5,98.23,90.88,95.58,2.91
2014-03-25,96.01,97.6,93.01,94.42,2.09
2014-03-26,94.79,95.75,89.65,92.59,3.159
2014-03-27,92.23,93.3,89.81,90.9,2.685
2014-03-28,91.11,92.85,90.35,90.76,2.103
2014-03-31,91.73,93.54,90.9,91.43,1.865
2014-04-01,91.55,96.27,91.5,95.28,2.09
2014-04-02,95.22,96.49,91.52,92.17,2.375
2014-04-03,92.25,92.56,83.02,83.91,5.008
2014-04-04,84.99,86.04,79.18,80.68,6.589
2014-04-07,80.36,82.24,75.38,78.14,4.531
2014-04-08,80.07,81.99,76.83,81.2,3.695
2014-04-09,81.87,83.16,80.56,83.02,2.308
2014-04-10,82.78,82.87,73.72,75.62,4.147
2014-04-11,74.5,75.96,71.41,71.86,3.833
2014-04-14,73.39,75.69,71.5,73.0,3.328
2014-04-15,73.0,78.74,72.7,77.81,4.595
2014-04-16,78.32,79.45,75.5,77.57,1.997
2014-04-17,77.56,80.74,76.63,79.8,3.212
2014-04-21,79.79,80.59,76.88,77.93,2.13
2014-04-22,78.91,82.0,78.81,81.37,2.498
2014-04-23,80.44,80.51,76.43,76.64,2.438
2014-04-24,77.68,77.7,69.47,72.59,5.184
2014-04-25,71.75,71.77,67.02,67.61,4.255
2014-04-28,67.76,69.0,64.21,67.31,5.824
2014-04-29,67.5,73.59,66.12,73.3,5.72
2014-04-30,71.9,73.81,69.71,73.07,3.573
2014-05-01,72.59,77.65,72.58,74.83,3.501
2014-05-02,75.0,76.72,74.75,75.73,3.221
2014-05-05,74.75,76.28,73.53,76.24,2.409
2014-05-06,75.55,76.71,72.94,73.26,3.622
2014-05-07,73.14,73.79,66.5,67.48,5.894
2014-05-08,66.6,70.38,66.4,67.06,3.329
2014-05-09,66.81,69.14,65.75,68.21,1.63
2014-05-12,68.89,73.63,68.32,72.44,2.852
2014-05-13,72.5,73.4,70.95,72.03,1.991
2014-05-14,71.54,73.25,70.67,71.0,2.001
2014-05-15,69.51,71.0,67.87,70.69,2.091
2014-05-16,70.79,72.13,68.98,71.76,1.832
2014-05-19,71.41,77.36,71.02,74.52,3.684
2014-05-20,74.72,77.23,73.11,75.51,2.392
2014-05-21,75.36,75.69,73.41,75.37,1.898
2014-05-22,75.12,77.79,74.97,76.83,1.7
2014-05-23,76.83,78.31,76.4,78.3,1.566
2014-05-27,79.02,82.5,78.91,82.13,4.264
2014-05-28,86.04,87.24,80.52,84.04,7.891
2014-05-29,83.27,83.99,80.16,80.96,3.583
2014-05-30,80.8,80.8,77.27,78.37,2.601
2014-06-02,78.25,78.25,75.32,75.43,2.936
2014-06-03,75.25,76.65,74.32,75.79,2.147
2014-06-04,75.34,77.34,74.32,76.8,1.591
2014-06-05,77.15,80.86,76.5,80.01,2.333
2014-06-06,81.0,81.33,79.29,81.01,1.393
2014-06-09,79.2,81.77,79.05,80.28,1.34
2014-06-10,80.22,81.99,79.18,79.83,1.328
2014-06-11,79.6,81.71,78.86,81.2,1.184
