Date,Open,High,Low,Close,Volume
2014-01-02,83.79,83.83,82.58,82.68,1.593
2014-01-03,82.63,83.72,82.22,83.28,1.576
2014-01-06,83.47,84.13,82.8,82.89,1.889
2014-01-07,83.41,86.15,83.04,85.65,2.361
2014-01-08,85.97,87.85,85.85,86.41,3.889
2014-01-09,86.87,87.15,84.75,84.92,2.3
2014-01-10,85.3,85.99,85.01,85.46,2.002
2014-01-13,85.37,86.7,84.29,84.61,1.922
2014-01-14,84.72,87.97,84.72,87.89,1.99
2014-01-15,88.7,89.2,87.55,88.98,1.834
2014-01-16,89.39,90.04,88.48,88.95,2.826
2014-01-17,88.47,89.07,87.85,88.82,2.934
2014-01-21,90.0,90.44,87.83,88.86,3.058
2014-01-22,88.47,89.29,87.91,88.08,2.539
2014-01-23,86.87,88.61,84.55,87.05,4.336
2014-01-24,86.08,87.38,84.99,85.0,2.561
2014-01-27,85.0,85.92,84.5,84.59,2.286
2014-01-28,83.67,84.59,82.53,83.37,4.462
2014-01-29,82.95,84.98,82.71,84.2,2.523
2014-01-30,84.87,87.15,84.58,86.94,2.932
2014-01-31,85.47,86.93,85.36,86.17,2.046
2014-02-03,85.7,86.64,83.22,83.5,2.532
2014-02-04,84.02,84.16,82.34,83.5,1.867
2014-02-05,83.05,83.91,80.84,82.74,2.265
2014-02-06,83.33,83.92,82.87,83.35,1.211
2014-02-07,83.97,85.41,82.8,84.68,1.927
2014-02-10,84.48,85.39,83.59,84.69,1.421
2014-02-11,84.54,85.3,83.95,84.87,1.278
2014-02-12,85.02,86.81,84.91,86.07,1.603
2014-02-13,85.29,86.75,85.04,86.67,1.453
2014-02-14,87.08,87.2,85.83,86.71,1.211
2014-02-18,87.11,87.99,86.26,86.34,1.414
2014-02-19,85.93,86.79,85.28,85.45,1.49
2014-02-20,85.55,86.35,84.41,86.24,1.641
2014-02-21,86.57,88.16,86.5,88.01,2.042
2014-02-24,88.11,89.31,87.68,88.6,1.78
2014-02-25,88.5,89.0,87.46,87.79,1.311
2014-02-26,88.14,89.79,88.0,89.28,2.267
2014-02-27,88.9,89.2,87.53,88.42,1.71
2014-02-28,87.88,88.13,86.15,86.99,2.704
2014-03-03,86.26,88.43,85.47,87.9,1.688
2014-03-04,88.64,89.62,88.31,88.76,1.62
2014-03-05,88.64,88.96,88.06,88.33,1.127
2014-03-06,88.42,88.84,86.17,86.72,1.903
2014-03-07,87.32,87.32,83.9,84.25,2.08
2014-03-10,84.48,86.64,84.09,85.11,2.213
2014-03-11,85.27,85.72,82.9,83.21,1.923
2014-03-12,82.62,84.36,82.42,84.16,1.31
2014-03-13,84.45,85.0,83.42,84.21,2.035
2014-03-14,83.81,85.12,83.78,85.02,1.686
2014-03-17,85.35,85.99,84.3,85.14,2.871
2014-03-18,85.09,86.45,84.51,86.32,1.336
2014-03-19,86.24,86.3,84.96,85.87,1.766
2014-03-20,85.66,88.15,85.19,87.99,1.978
2014-03-21,88.94,89.2,87.67,88.62,3.212
2014-03-24,88.13,88.9,86.7,87.98,2.321
2014-03-25,87.98,90.33,87.74,89.85,2.06
2014-03-26,90.26,91.1,89.29,89.33,2.191
2014-03-27,89.02,90.33,88.78,89.7,2.046
2014-03-28,89.85,90.93,88.97,89.41,1.558
2014-03-31,89.73,92.47,89.07,91.82,2.582
2014-04-01,92.56,93.9,92.08,93.54,2.138
2014-04-02,93.73,94.55,92.5,94.14,1.747
2014-04-03,93.64,94.56,93.05,93.46,1.62
2014-04-04,94.32,95.0,90.01,90.5,2.528
2014-04-07,90.39,91.75,88.87,89.6,2.456
2014-04-08,89.72,91.27,89.54,90.98,2.071
2014-04-09,90.95,91.5,89.07,91.25,1.984
2014-04-10,91.47,91.91,88.17,88.17,2.259
2014-04-11,87.59,89.04,87.2,88.21,2.251
2014-04-14,88.79,90.58,88.52,90.35,1.941
2014-04-15,90.16,90.51,88.01,89.37,1.82
2014-04-16,90.0,90.66,88.97,90.28,1.378
2014-04-17,89.85,91.6,89.36,91.05,1.666
2014-04-21,91.76,92.32,90.69,92.26,1.351
2014-04-22,92.07,92.75,91.72,92.09,1.36
2014-04-23,91.73,91.99,90.03,90.44,1.501
2014-04-24,91.15,91.4,89.06,89.8,1.718
2014-04-25,89.2,89.45,87.59,87.77,1.502
2014-04-28,88.32,89.12,86.05,87.53,1.97
2014-04-29,88.3,88.49,87.02,87.45,2.216
2014-04-30,86.48,89.88,85.94,88.08,2.284
2014-05-01,85.53,85.91,81.22,82.28,5.062
2014-05-02,82.48,84.06,81.53,83.68,2.903
2014-05-05,83.16,84.45,82.89,83.9,1.97
2014-05-06,83.59,84.99,83.33,84.41,2.014
2014-05-07,83.99,84.94,82.39,83.35,2.5
2014-05-08,83.9,85.02,82.96,83.59,2.337
2014-05-09,83.4,83.59,80.78,81.95,3.011
2014-05-12,82.68,83.0,81.87,82.46,2.209
2014-05-13,82.52,82.99,81.84,82.6,1.781
2014-05-14,83.72,86.36,83.52,85.33,2.902
2014-05-15,85.06,85.94,84.44,85.3,2.067
2014-05-16,85.08,86.15,84.44,85.91,1.713
2014-05-19,85.76,85.83,84.56,85.31,2.212
2014-05-20,85.49,85.55,83.28,83.84,1.968
2014-05-21,84.02,85.34,83.47,83.66,1.59
2014-05-22,83.65,83.98,83.16,83.64,1.868
2014-05-23,83.98,85.04,83.6,84.83,1.069
2014-05-27,85.06,87.47,84.88,87.42,1.797
2014-05-28,87.4,88.0,87.02,87.2,1.431
2014-05-29,86.81,87.73,86.7,87.13,1.082
2014-05-30,87.28,87.95,86.5,87.85,2.696
2014-06-02,87.79,88.23,87.31,87.66,1.36
2014-06-03,87.25,88.07,86.95,87.89,1.01
2014-06-04,87.78,89.47,87.55,89.15,1.749
2014-06-05,89.81,92.11,88.92,91.95,4.329
2014-06-06,91.89,92.31,91.07,92.16,1.659
2014-06-09,91.97,92.3,91.09,91.64,1.754
2014-06-10,91.07,91.64,89.96,90.78,1.854
2014-06-11,90.58,91.02,90.1,90.7,0.874
2014-06-12,90.32,90.91,89.32,89.74,1.24
2014-06-13,91.69,93.41,91.44,92.12,2.334
2014-06-16,91.88,92.35,91.34,91.46,1.337
2014-06-17,91.19,92.61,90.89,92.32,1.143
2014-06-18,91.96,93.14,91.55,92.99,1.003
2014-06-19,92.6,93.2,90.78,91.28,1.765
2014-06-20,91.66,92.23,90.44,91.46,2.609
2014-06-23,91.15,91.68,90.17,91.59,0.891
2014-06-24,91.45,92.21,90.5,90.62,1.527
2014-06-25,90.55,92.29,90.28,91.94,1.374
2014-06-26,91.97,92.1,91.15,91.89,0.805
2014-06-27,91.78,93.09,91.55,92.9,1.51
2014-06-30,92.66,93.0,91.99,92.3,1.045
2014-07-01,93.16,95.75,93.1,94.46,2.261
2014-07-02,94.27,96.31,94.03,95.92,1.685
2014-07-03,96.41,96.67,94.95,96.54,1.248
2014-07-07,96.02,96.38,94.3,95.73,2.616
2014-07-08,94.05,96.05,93.8,94.36,1.85
2014-07-09,93.51,95.42,93.51,94.3,1.436
2014-07-10,93.8,96.24,93.16,95.41,1.662
2014-07-11,95.06,98.89,95.05,97.77,3.175
2014-07-14,98.46,99.25,97.66,98.43,2.434
2014-07-15,98.15,99.98,98.08,98.71,2.242
2014-07-16,101.3,102.11,100.1,101.23,3.518
2014-07-17,99.77,100.91,97.59,98.15,3.242
2014-07-18,98.18,99.78,97.88,99.46,2.841
2014-07-21,99.45,99.65,98.48,99.03,1.115
2014-07-22,99.38,100.6,99.36,100.16,1.277
2014-07-23,100.35,100.67,99.41,99.6,1.016
2014-07-24,99.83,100.19,99.04,99.6,1.592
2014-07-25,99.26,99.95,98.77,99.36,0.972
2014-07-28,99.45,100.99,98.67,100.81,1.666
2014-07-29,100.23,101.27,99.91,100.79,1.714
2014-07-30,101.11,102.67,100.94,101.17,2.604
2014-07-31,99.66,102.89,97.97,99.89,2.214
2014-08-01,98.72,100.51,98.62,100.3,2.504
2014-08-04,100.3,102.51,100.11,102.1,2.318
2014-08-05,101.39,102.54,101.22,101.65,1.916
2014-08-06,101.2,102.25,101.02,101.88,1.511
2014-08-07,102.06,102.76,101.03,101.6,1.647
2014-08-08,101.71,101.9,100.77,101.3,1.34
2014-08-11,101.4,102.12,100.81,100.94,1.066
2014-08-12,101.03,101.03,98.43,99.51,2.506
2014-08-13,98.96,100.41,98.96,100.4,1.974
2014-08-14,100.74,100.78,99.32,100.36,1.467
2014-08-15,101.0,101.31,99.48,100.62,1.588
2014-08-18,100.71,101.43,100.27,100.84,1.001
2014-08-19,100.95,101.44,99.65,100.01,1.56
2014-08-20,99.82,100.81,99.77,100.24,1.109
2014-08-21,100.14,100.71,99.97,100.7,1.311
2014-08-22,101.15,101.55,100.47,101.0,1.016
2014-08-25,101.43,102.64,101.43,101.91,0.822
2014-08-26,101.69,102.28,101.33,101.95,1.07
2014-08-27,102.36,103.51,101.95,102.71,1.363
2014-08-28,101.69,102.6,101.66,102.07,1.354
2014-08-29,102.77,103.5,101.89,103.01,1.317
2014-09-02,103.07,103.25,101.52,102.0,1.429
2014-09-03,102.43,102.43,101.25,101.74,1.362
2014-09-04,101.74,102.22,100.65,100.95,1.25
2014-09-05,101.22,101.46,100.38,100.92,1.342
2014-09-08,101.17,101.71,99.76,100.44,1.988
2014-09-09,100.62,100.64,99.42,99.85,1.57
2014-09-10,99.76,100.25,99.02,99.89,1.378
2014-09-11,99.65,100.68,98.89,100.06,1.117
2014-09-12,99.57,100.29,99.3,99.89,1.69
2014-09-15,99.69,100.28,97.4,97.55,1.611
2014-09-16,97.3,98.43,96.9,98.1,1.523
2014-09-17,98.12,98.3,96.45,97.82,2.348
2014-09-18,97.96,99.94,97.34,99.58,2.303
2014-09-19,99.2,100.15,98.13,98.52,6.097
2014-09-22,98.51,98.74,97.83,98.2,1.668
2014-09-23,98.26,98.43,97.0,97.02,1.384
2014-09-24,96.98,98.68,96.78,98.35,1.564
2014-09-25,98.61,98.7,95.56,96.19,1.59
2014-09-26,96.18,97.63,96.06,97.29,1.227
2014-09-29,96.03,96.9,95.43,96.25,1.59
2014-09-30,96.23,97.73,96.01,97.32,1.714
2014-10-01,96.48,96.78,94.43,94.58,1.912
2014-10-02,94.67,95.35,93.32,95.11,1.518
2014-10-03,95.65,96.27,95.06,95.4,1.357
2014-10-06,95.91,96.23,94.65,94.7,1.628
2014-10-07,94.24,94.67,93.27,93.31,1.52
2014-10-08,93.36,95.79,92.72,95.66,1.692
2014-10-09,95.68,95.68,93.37,93.39,1.646
2014-10-10,93.75,94.74,90.46,90.46,2.243
2014-10-13,90.12,90.83,86.27,86.47,3.342
2014-10-14,87.27,87.51,85.31,85.87,2.881
2014-10-15,84.39,85.3,82.85,85.1,3.432
2014-10-16,83.66,86.42,83.17,85.58,1.644
2014-10-17,86.39,87.8,86.27,86.84,2.276
2014-10-20,87.02,88.17,86.85,87.83,1.97
2014-10-21,88.81,90.77,88.51,90.68,2.313
2014-10-22,90.72,90.99,89.12,89.27,1.738
2014-10-23,90.5,91.07,89.6,90.59,1.821
2014-10-24,91.07,91.82,90.16,91.68,1.488
2014-10-27,91.76,93.81,90.62,92.95,2.292
2014-10-28,93.28,94.17,91.68,93.08,2.702
2014-10-29,93.0,97.5,92.57,95.79,4.29
2014-10-30,95.21,95.67,94.11,95.19,2.081
2014-10-31,97.18,98.59,96.16,98.37,2.666
2014-11-03,98.72,101.47,98.5,100.75,2.785
2014-11-04,100.23,101.2,99.6,100.0,2.1
2014-11-05,100.76,101.39,100.03,101.28,1.223
2014-11-06,100.0,101.07,97.56,97.87,3.24
2014-11-07,97.95,98.97,97.34,97.7,5.057
2014-11-10,97.62,98.0,97.06,97.64,1.859
2014-11-11,97.64,97.93,96.39,96.95,1.456
2014-11-12,96.98,98.11,96.5,97.63,1.579
2014-11-13,97.47,98.16,97.09,97.83,1.27
2014-11-14,98.01,98.81,97.78,98.41,1.116
2014-11-17,98.29,98.91,97.27,98.54,1.836
2014-11-18,98.38,101.2,98.14,100.39,2.022
2014-11-19,100.24,100.43,99.35,99.91,1.181
2014-11-20,100.01,101.81,99.08,101.77,1.2
2014-11-21,102.62,103.48,100.83,101.7,2.608
2014-11-24,101.53,102.97,101.46,102.76,1.23
2014-11-25,103.0,104.0,102.56,102.63,2.333
2014-11-26,102.0,103.69,101.57,103.67,1.466
2014-11-28,103.54,104.0,102.97,103.27,0.862
2014-12-01,103.1,103.37,101.33,102.15,1.829
2014-12-02,102.18,103.23,101.74,102.72,1.289
2014-12-03,102.95,103.38,102.11,103.14,1.08
2014-12-04,103.04,104.21,102.92,103.72,1.458
2014-12-05,104.0,105.21,103.61,105.07,2.151
2014-12-08,104.55,105.83,104.14,105.05,1.676
2014-12-09,103.62,108.67,103.62,107.8,3.598
