Date,Open,High,Low,Close,Volume
2014-01-02,41.42,41.46,40.59,40.73,1.355
2014-01-03,40.75,40.92,40.41,40.68,1.209
2014-01-06,40.51,40.61,40.17,40.31,2.145
2014-01-07,40.34,41.12,40.28,41.0,2.374
2014-01-08,41.01,41.07,40.6,40.69,1.761
2014-01-09,40.71,40.89,40.5,40.75,1.435
2014-01-10,40.98,41.72,40.98,41.44,1.402
2014-01-13,41.42,41.43,40.9,40.99,1.862
2014-01-14,41.01,41.18,40.82,40.99,1.075
2014-01-15,41.16,41.25,40.74,40.9,1.396
2014-01-16,40.91,41.11,40.61,41.1,1.563
2014-01-17,41.24,41.31,41.05,41.14,1.194
2014-01-21,41.36,41.59,41.27,41.5,1.398
2014-01-22,41.58,41.77,41.51,41.66,1.307
2014-01-23,41.54,41.78,41.36,41.64,1.299
2014-01-24,41.62,42.1,41.41,41.43,2.541
2014-01-27,41.41,41.66,41.3,41.42,1.519
2014-01-28,41.49,41.54,41.18,41.47,1.761
2014-01-29,41.34,41.72,41.24,41.57,1.782
2014-01-30,41.71,42.34,41.7,42.28,1.168
2014-01-31,41.85,42.71,41.83,42.67,2.166
2014-02-03,42.72,43.22,42.1,42.19,2.261
2014-02-04,42.42,42.42,41.78,42.16,1.899
2014-02-05,42.1,42.16,41.73,41.99,2.5
2014-02-06,42.0,42.48,41.72,41.92,2.555
2014-02-07,42.01,42.17,41.58,42.1,2.464
2014-02-10,42.07,42.68,41.8,42.5,1.68
2014-02-11,42.49,43.26,42.46,43.17,1.842
2014-02-12,42.83,43.01,42.58,42.88,1.932
2014-02-13,42.7,43.32,42.64,43.31,1.389
2014-02-14,43.22,43.67,43.11,43.62,1.273
2014-02-18,43.67,43.96,43.63,43.86,1.424
2014-02-19,43.75,44.05,43.43,43.47,1.701
2014-02-20,43.5,44.12,43.43,43.89,1.103
2014-02-21,43.91,44.34,43.82,43.92,1.144
2014-02-24,43.96,44.23,43.75,43.76,1.55
2014-02-25,43.87,44.15,43.72,43.81,1.284
2014-02-26,43.93,44.05,43.58,43.62,1.422
2014-02-27,43.6,43.85,43.33,43.53,1.134
2014-02-28,43.62,44.05,43.55,43.96,1.552
2014-03-03,43.78,43.97,43.38,43.46,1.188
2014-03-04,43.87,44.37,43.84,44.22,2.309
2014-03-05,44.11,44.2,43.77,43.85,1.396
2014-03-06,43.89,43.99,43.62,43.66,1.189
2014-03-07,43.65,43.68,43.22,43.66,1.247
2014-03-10,43.69,43.84,43.44,43.74,1.247
2014-03-11,43.76,43.82,43.27,43.58,1.346
2014-03-12,43.52,44.41,43.49,44.39,1.689
2014-03-13,44.39,45.14,44.39,44.98,1.541
2014-03-14,44.94,45.43,44.8,45.31,1.34
2014-03-17,45.41,45.87,45.19,45.66,1.085
2014-03-18,45.7,45.92,45.58,45.63,1.15
2014-03-19,45.63,45.84,44.74,45.01,1.604
2014-03-20,44.71,44.95,44.47,44.85,1.247
2014-03-21,45.2,45.66,45.05,45.11,2.052
2014-03-24,45.2,45.54,45.01,45.45,1.263
2014-03-25,45.5,45.94,45.11,45.9,1.681
2014-03-26,45.88,46.05,45.55,45.6,1.259
2014-03-27,45.53,45.98,45.35,45.91,1.508
2014-03-28,45.98,46.06,45.78,45.94,1.024
2014-03-31,46.19,46.76,46.16,46.55,2.072
2014-04-01,46.54,46.62,46.21,46.59,1.72
2014-04-02,46.41,46.81,46.23,46.55,1.669
2014-04-03,46.58,46.97,46.44,46.83,1.95
2014-04-04,46.9,47.61,46.81,46.99,2.714
2014-04-07,46.88,47.38,46.78,46.81,2.052
2014-04-08,46.73,47.49,46.36,47.38,1.872
2014-04-09,47.42,47.43,46.45,47.05,1.659
2014-04-10,47.05,47.35,46.65,46.89,2.345
2014-04-11,46.78,47.3,46.67,46.91,2.325
2014-04-14,47.03,47.33,46.79,47.23,1.738
