Date,Open,High,Low,Close,Volume
2014-01-02,53.15,53.69,53.08,53.54,2.575
2014-01-03,53.28,53.38,52.9,53.05,2.161
2014-01-06,53.29,54.8,53.14,54.29,3.218
2014-01-07,54.42,54.64,53.85,54.26,2.186
2014-01-08,54.19,54.32,53.7,53.9,1.648
2014-01-09,54.07,54.22,53.5,54.02,1.558
2014-01-10,54.31,55.51,54.3,55.48,2.889
2014-01-13,55.36,56.16,55.18,55.95,4.426
2014-01-14,55.92,55.95,54.96,55.14,3.374
2014-01-15,55.26,55.87,55.25,55.55,2.596
2014-01-16,55.8,56.17,55.65,56.06,2.183
2014-01-17,56.2,56.24,55.55,55.59,2.001
2014-01-21,55.96,56.47,55.87,56.44,2.055
2014-01-22,56.43,56.79,56.29,56.54,1.542
2014-01-23,56.6,56.62,55.95,56.03,2.189
2014-01-24,56.01,56.21,55.67,55.92,2.932
2014-01-27,55.94,56.64,55.92,56.25,2.532
2014-01-28,56.41,57.1,56.32,56.79,1.828
2014-01-29,56.51,56.76,56.2,56.69,2.141
2014-01-30,56.92,57.53,56.8,57.05,1.775
2014-01-31,56.8,58.11,56.43,57.92,2.915
2014-02-03,57.82,57.9,57.31,57.49,2.274
2014-02-04,57.45,57.79,57.16,57.63,2.312
2014-02-05,57.52,57.73,56.5,56.91,2.106
2014-02-06,56.0,56.54,55.87,56.28,2.067
2014-02-07,56.42,56.96,56.21,56.89,1.628
2014-02-10,56.76,57.24,56.41,57.09,1.761
2014-02-11,57.14,57.6,56.8,57.14,1.704
2014-02-12,57.1,57.28,56.62,56.83,1.258
2014-02-13,56.68,57.42,56.55,56.99,1.459
2014-02-14,57.04,57.25,56.58,56.86,1.495
2014-02-18,56.81,57.06,56.31,56.96,1.477
2014-02-19,56.95,57.96,56.8,57.33,1.906
2014-02-20,57.41,57.95,56.31,56.58,1.847
2014-02-21,56.48,56.98,56.01,56.78,2.522
2014-02-24,56.79,58.52,56.79,58.03,1.973
2014-02-25,58.07,58.13,57.43,57.66,1.579
2014-02-26,57.83,58.03,57.4,57.91,1.31
2014-02-27,57.99,58.4,57.77,58.13,1.038
2014-02-28,58.18,59.08,58.07,58.74,2.274
2014-03-03,58.47,58.92,58.17,58.86,1.459
2014-03-04,59.25,59.81,59.14,59.61,1.509
2014-03-05,59.55,59.93,59.27,59.87,1.226
2014-03-06,59.86,59.87,58.94,59.05,1.583
2014-03-07,58.93,58.97,57.55,58.29,2.01
2014-03-10,58.25,58.45,57.68,58.09,1.98
2014-03-11,58.11,59.05,58.04,58.86,2.216
2014-03-12,58.82,59.65,58.82,59.31,2.333
2014-03-13,59.39,59.39,58.55,58.64,1.767
2014-03-14,58.63,59.43,58.56,58.93,1.469
2014-03-17,59.08,59.13,58.35,58.6,1.235
2014-03-18,58.68,58.71,58.16,58.39,1.639
2014-03-19,58.45,59.0,57.06,57.18,2.014
2014-03-20,57.07,57.12,56.45,57.05,2.027
2014-03-21,57.74,58.27,57.29,58.23,3.762
2014-03-24,58.25,58.45,57.76,57.97,1.394
2014-03-25,58.2,58.56,57.84,58.43,1.096
2014-03-26,58.65,58.82,58.05,58.08,1.228
2014-03-27,58.06,58.8,57.82,58.78,1.083
2014-03-28,58.82,59.41,58.76,59.13,1.034
2014-03-31,59.3,59.83,58.79,59.6,1.535
2014-04-01,59.66,59.71,58.91,59.48,1.755
2014-04-02,59.46,60.08,59.31,59.87,1.37
2014-04-03,59.97,60.09,59.14,59.49,1.376
2014-04-04,59.72,60.56,59.44,60.44,1.502
2014-04-07,60.34,61.85,60.33,61.2,1.903
2014-04-08,61.1,62.15,61.1,62.1,1.839
2014-04-09,62.24,62.28,61.5,61.93,1.66
2014-04-10,61.95,62.46,61.29,61.67,1.644
2014-04-11,61.65,62.35,61.53,61.77,2.215
2014-04-14,61.97,62.09,61.25,61.69,2.197
2014-04-15,61.63,62.9,61.4,62.72,2.133
2014-04-16,62.79,62.94,62.3,62.83,1.57
2014-04-17,62.67,62.74,61.4,61.94,1.885
2014-04-21,62.02,62.41,61.84,62.18,1.317
2014-04-22,62.04,62.18,61.23,61.79,1.494
2014-04-23,61.88,61.95,61.35,61.73,1.631
2014-04-24,61.78,62.58,61.62,62.36,1.034
2014-04-25,62.37,62.47,62.04,62.18,0.948
2014-04-28,62.29,63.24,62.26,63.11,1.664
2014-04-29,63.28,63.36,62.79,62.96,0.96
2014-04-30,62.83,63.11,62.69,63.09,1.101
2014-05-01,63.02,63.28,62.32,63.25,1.45
2014-05-02,63.06,63.28,62.63,63.1,1.293
2014-05-05,62.97,63.83,62.85,63.54,1.271
2014-05-06,63.22,63.76,63.12,63.36,1.433
2014-05-07,63.41,64.12,63.39,63.63,2.125
2014-05-08,63.05,64.39,63.05,64.31,2.531
2014-05-09,64.22,65.1,64.1,64.39,2.097
2014-05-12,64.37,64.42,63.75,64.31,1.72
2014-05-13,64.25,64.84,63.72,64.0,1.405
2014-05-14,64.09,64.5,63.77,63.97,1.892
2014-05-15,63.95,64.6,63.87,64.55,1.962
2014-05-16,64.34,65.25,64.2,65.24,1.678
2014-05-19,65.05,65.14,64.24,64.42,1.85
2014-05-20,64.58,65.22,64.48,64.81,1.85
2014-05-21,64.81,64.83,63.78,63.97,1.059
2014-05-22,63.93,64.2,63.58,63.64,1.461
2014-05-23,63.92,64.52,63.83,64.51,1.075
2014-05-27,64.6,64.76,64.25,64.43,1.526
2014-05-28,62.57,62.75,62.1,62.35,12.133
2014-05-29,62.3,62.86,62.25,62.67,3.755
2014-05-30,62.62,63.42,62.54,63.23,2.864
2014-06-02,63.25,63.85,63.25,63.47,3.388
2014-06-03,63.45,63.88,63.2,63.7,1.629
2014-06-04,63.48,63.93,63.19,63.51,1.417
2014-06-05,63.52,64.83,63.47,64.74,2.06
2014-06-06,64.88,64.94,63.6,64.08,6.831
2014-06-09,64.08,64.54,63.14,63.35,1.979
2014-06-10,63.11,63.32,62.44,62.87,2.371
2014-06-11,62.89,63.1,62.26,62.99,2.117
2014-06-12,62.79,63.1,62.01,62.95,1.918
2014-06-13,63.01,63.22,62.33,63.17,1.172
2014-06-16,63.15,63.25,62.64,62.78,1.328
2014-06-17,62.55,62.82,61.58,62.12,2.202
2014-06-18,62.13,62.22,61.51,62.09,2.165
2014-06-19,62.32,63.22,62.2,63.03,3.474
2014-06-20,63.1,63.42,62.69,63.41,5.279
2014-06-23,63.25,63.89,63.24,63.51,1.961
2014-06-24,63.44,63.6,63.11,63.35,2.022
2014-06-25,63.25,63.54,62.71,62.79,3.114
2014-06-26,62.86,63.23,62.85,62.9,2.083
2014-06-27,62.98,63.09,62.53,62.63,4.713
2014-06-30,62.77,62.95,62.2,62.67,2.143
2014-07-01,62.27,63.24,62.27,63.06,2.018
2014-07-02,62.8,62.84,61.92,62.34,1.797
2014-07-03,62.26,62.26,61.42,61.92,1.463
2014-07-07,62.01,62.4,61.87,62.3,1.453
2014-07-08,62.27,62.85,62.15,62.5,1.493
2014-07-09,62.55,62.73,62.01,62.66,1.662
2014-07-10,62.57,63.4,62.51,62.89,2.074
2014-07-11,62.99,63.02,62.56,62.82,1.353
2014-07-14,62.75,63.02,62.44,62.98,1.284
2014-07-15,62.79,63.2,62.74,63.18,1.506
2014-07-16,63.2,63.67,63.0,63.56,1.434
2014-07-17,63.18,63.97,63.16,63.69,2.081
2014-07-18,64.0,64.3,63.59,64.29,2.292
2014-07-21,64.0,64.35,63.8,64.26,1.012
2014-07-22,64.43,64.7,64.22,64.37,1.758
2014-07-23,64.24,64.63,64.24,64.57,1.458
2014-07-24,64.62,64.72,64.35,64.7,1.756
2014-07-25,64.63,64.85,64.27,64.48,1.764
2014-07-28,64.34,64.86,64.34,64.75,1.384
2014-07-29,64.62,64.72,64.24,64.36,1.173
2014-07-30,64.29,64.68,63.69,64.03,1.417
2014-07-31,63.92,64.38,63.4,63.63,2.75
2014-08-01,63.69,65.16,63.51,64.58,2.562
2014-08-04,64.55,64.88,64.1,64.7,1.426
2014-08-05,65.05,65.05,63.9,64.18,1.749
2014-08-06,64.16,64.59,64.0,64.1,2.137
2014-08-07,63.55,63.57,63.03,63.09,2.017
2014-08-08,63.24,63.68,62.82,63.1,3.64
2014-08-11,63.18,63.59,63.04,63.21,2.767
2014-08-12,63.29,63.6,63.21,63.51,1.746
2014-08-13,63.97,65.06,63.81,64.95,2.245
2014-08-14,65.24,65.97,65.03,65.69,2.016
2014-08-15,65.78,66.35,65.27,65.31,2.287
2014-08-18,65.51,65.79,65.34,65.68,1.386
2014-08-19,65.9,66.28,65.73,65.88,1.289
2014-08-20,65.88,66.58,65.64,66.36,1.626
2014-08-21,66.38,66.92,66.29,66.37,1.362
2014-08-22,66.39,66.56,65.83,66.13,0.922
2014-08-25,66.32,66.49,65.92,66.11,0.981
2014-08-26,66.3,66.69,66.2,66.67,1.025
2014-08-27,66.64,66.99,66.6,66.95,0.955
2014-08-28,66.76,67.18,66.66,67.07,1.288
2014-08-29,67.15,67.58,67.01,67.58,3.485
2014-09-02,67.83,67.87,67.0,67.26,1.495
2014-09-03,67.45,67.72,67.24,67.58,1.207
2014-09-04,67.43,67.99,67.08,67.53,1.518
2014-09-05,67.41,68.36,67.34,68.32,2.048
2014-09-08,68.13,68.21,67.64,67.85,1.319
2014-09-09,67.61,67.7,66.99,67.22,1.739
2014-09-10,67.0,67.0,66.0,66.22,1.522
2014-09-11,66.3,66.72,66.03,66.49,1.154
2014-09-12,64.14,64.59,62.89,63.25,16.989
2014-09-15,63.33,63.88,63.03,63.59,3.106
2014-09-16,63.59,64.0,63.34,63.86,2.24
2014-09-17,64.16,64.43,63.66,63.76,2.38
2014-09-18,63.96,64.0,62.86,62.89,2.176
2014-09-19,62.93,63.6,62.63,63.54,4.486
2014-09-22,63.52,63.71,63.11,63.13,1.557
2014-09-23,63.1,63.48,62.69,62.71,2.076
