Date,Open,High,Low,Close,Volume
2014-01-02,45.15,45.3,44.91,45.02,17.333
2014-01-03,44.99,45.48,44.98,45.34,14.694
2014-01-06,45.53,45.81,45.36,45.42,18.439
2014-01-07,45.8,45.8,45.22,45.4,16.897
2014-01-08,45.4,45.95,45.35,45.92,20.851
2014-01-09,45.97,46.2,45.8,46.16,14.23
2014-01-10,46.06,46.06,45.63,45.94,15.387
2014-01-13,45.96,46.11,45.45,45.56,20.951
2014-01-14,45.48,45.84,44.92,45.59,28.488
2014-01-15,45.94,46.74,45.76,46.4,27.394
2014-01-16,46.3,46.46,46.07,46.39,12.893
2014-01-17,46.48,46.56,46.14,46.39,15.168
2014-01-21,46.51,46.84,46.24,46.5,15.534
2014-01-22,46.74,46.83,46.5,46.67,11.817
2014-01-23,46.4,46.45,46.0,46.35,19.825
2014-01-24,46.04,46.16,45.48,45.48,20.115
2014-01-27,45.53,45.88,45.23,45.53,21.324
2014-01-28,45.79,46.24,45.65,45.96,16.117
2014-01-29,45.63,46.21,45.49,45.59,20.429
2014-01-30,45.85,46.2,45.77,46.05,12.624
2014-01-31,45.41,45.71,45.23,45.34,27.251
2014-02-03,45.31,45.62,44.32,44.43,29.54
2014-02-04,44.57,44.82,44.23,44.77,20.745
2014-02-05,44.6,44.63,44.17,44.23,21.999
2014-02-06,44.37,44.79,44.27,44.78,21.043
2014-02-07,45.05,45.4,44.84,45.37,16.773
2014-02-10,45.39,45.62,45.22,45.52,12.502
2014-02-11,45.54,46.09,45.46,45.97,13.561
2014-02-12,45.96,46.25,45.81,45.99,12.176
2014-02-13,45.56,46.07,45.44,45.98,14.597
2014-02-14,46.03,46.28,45.81,46.13,11.165
2014-02-18,46.29,46.33,46.07,46.13,12.12
2014-02-19,46.05,46.25,45.48,45.53,16.188
2014-02-20,45.39,45.85,45.25,45.63,13.388
2014-02-21,45.62,46.06,45.48,45.6,15.411
2014-02-24,45.73,46.43,45.7,46.08,14.107
2014-02-25,46.2,46.26,45.95,46.08,13.752
2014-02-26,46.35,46.43,45.81,46.05,13.911
2014-02-27,45.95,46.08,45.61,46.05,13.8
2014-02-28,46.1,46.65,46.01,46.42,16.347
2014-03-03,46.11,46.24,45.96,46.15,16.068
2014-03-04,46.72,46.8,46.43,46.74,14.882
2014-03-05,46.82,47.23,46.69,47.09,13.644
2014-03-06,47.29,47.5,47.17,47.34,14.726
2014-03-07,47.76,48.48,47.6,47.95,20.492
2014-03-10,47.9,48.28,47.58,48.15,11.81
2014-03-11,48.34,48.36,47.72,47.81,13.374
2014-03-12,47.7,48.13,47.56,48.12,13.497
2014-03-13,48.23,48.3,47.74,47.84,14.814
2014-03-14,47.59,48.07,47.27,47.4,15.347
2014-03-17,47.7,48.17,47.58,48.13,11.086
2014-03-18,48.17,48.45,48.12,48.4,9.757
2014-03-19,48.38,48.41,47.48,47.81,28.293
2014-03-20,47.7,49.36,47.7,49.03,25.208
2014-03-21,49.79,49.97,49.04,49.12,30.999
2014-03-24,49.48,49.49,48.82,48.98,19.678
2014-03-25,49.25,49.27,48.91,48.96,14.659
2014-03-26,49.19,49.2,48.46,48.5,17.4
2014-03-27,49.51,49.79,48.65,49.1,29.075
2014-03-28,49.14,49.61,49.05,49.29,15.008
2014-03-31,49.75,49.91,49.46,49.74,17.902
2014-04-01,49.88,49.93,49.5,49.77,16.397
2014-04-02,49.77,49.88,49.51,49.76,13.037
2014-04-03,49.81,49.89,49.56,49.83,9.599
2014-04-04,50.05,50.49,49.56,49.56,18.702
2014-04-07,49.58,49.67,48.65,48.66,19.654
2014-04-08,48.66,49.0,48.44,48.83,19.087
2014-04-09,49.07,49.1,48.61,49.1,15.928
2014-04-10,49.22,49.22,47.71,47.71,24.911
2014-04-11,47.45,48.87,46.72,48.08,36.427
2014-04-14,48.37,48.68,47.44,48.11,24.321
2014-04-15,48.27,48.88,48.04,48.78,21.75
2014-04-16,49.06,49.23,48.63,49.09,17.866
2014-04-17,49.02,49.29,48.8,48.93,19.4
2014-04-21,49.08,49.33,48.96,49.12,12.478
2014-04-22,49.04,49.49,48.9,49.23,14.204
2014-04-23,49.2,49.67,49.2,49.59,13.31
2014-04-24,49.74,49.74,49.17,49.32,12.617
2014-04-25,49.27,49.45,49.0,49.05,16.274
2014-04-28,49.27,49.33,48.53,48.94,18.412
2014-04-29,49.27,49.51,49.13,49.47,14.746
2014-04-30,49.45,49.75,49.37,49.64,14.983
2014-05-01,49.74,49.84,49.45,49.64,11.851
2014-05-02,49.77,50.01,49.5,49.58,13.37
2014-05-05,49.28,49.64,49.1,49.56,9.127
2014-05-06,49.39,49.43,49.07,49.09,16.213
2014-05-07,49.0,49.43,48.87,49.39,15.504
2014-05-08,49.35,49.49,49.2,49.33,12.902
