Date,Open,High,Low,Close,Volume
2014-01-02,44.79,44.8,44.1,44.2,1.504
2014-01-03,44.25,44.46,44.0,44.19,1.463
2014-01-06,44.38,44.39,43.71,43.76,1.907
2014-01-07,44.04,44.18,43.84,44.08,2.137
2014-01-08,44.09,44.14,43.78,43.99,1.762
2014-01-09,44.1,44.17,43.6,43.73,1.637
2014-01-10,44.06,44.14,43.43,43.61,2.015
2014-01-13,43.34,43.47,42.93,43.03,2.472
2014-01-14,43.09,43.43,43.05,43.3,1.794
2014-01-15,43.44,43.48,43.16,43.19,1.832
2014-01-16,43.11,43.19,42.75,42.86,2.193
2014-01-17,42.96,43.33,42.84,43.12,2.451
2014-01-21,43.41,43.45,42.75,42.91,1.949
2014-01-22,43.04,43.05,42.68,42.75,1.744
2014-01-23,42.49,42.51,41.91,42.31,3.057
2014-01-24,42.05,42.12,41.61,41.64,3.029
2014-01-27,41.61,41.84,41.37,41.54,2.465
2014-01-28,41.63,41.78,41.23,41.44,2.14
2014-01-29,41.15,41.46,40.86,41.07,3.044
2014-01-30,41.37,41.92,41.31,41.79,1.864
2014-01-31,41.34,41.84,41.16,41.78,2.746
2014-02-03,41.72,41.86,40.89,41.0,3.098
2014-02-04,41.15,41.37,41.08,41.29,1.765
2014-02-05,41.13,41.66,41.12,41.5,2.167
2014-02-06,41.5,42.25,41.39,42.07,2.091
2014-02-07,42.31,43.0,42.31,42.84,2.408
2014-02-10,42.84,42.85,42.37,42.64,2.498
2014-02-11,42.54,43.07,42.5,42.85,1.644
2014-02-12,42.86,43.06,42.8,42.88,1.209
2014-02-13,42.72,43.37,42.62,43.33,1.135
2014-02-14,43.22,43.78,43.01,43.67,1.716
2014-02-18,42.69,43.45,41.4,41.72,6.161
2014-02-19,41.17,41.68,40.67,41.19,4.959
2014-02-20,41.13,41.41,40.84,40.98,3.455
2014-02-21,41.08,41.29,40.83,40.99,2.672
2014-02-24,41.04,41.31,40.9,41.06,3.222
2014-02-25,41.0,41.16,40.6,40.76,2.978
2014-02-26,40.74,41.1,40.65,40.85,2.814
2014-02-27,40.83,41.09,40.45,40.58,2.166
2014-02-28,40.55,41.52,40.55,41.5,3.542
2014-03-03,40.88,41.42,40.88,41.28,2.574
2014-03-04,41.6,41.81,41.07,41.37,3.014
2014-03-05,41.4,41.51,41.19,41.34,2.074
2014-03-06,40.95,41.24,40.91,41.2,2.088
2014-03-07,41.29,41.56,41.17,41.38,1.714
2014-03-10,41.3,41.39,41.14,41.35,1.139
2014-03-11,41.35,41.47,41.07,41.26,1.332
2014-03-12,41.0,41.09,40.53,40.59,2.662
2014-03-13,40.74,40.81,40.35,40.41,1.99
2014-03-14,40.46,40.92,40.39,40.81,2.216
2014-03-17,40.92,41.1,40.89,41.06,1.649
2014-03-18,41.09,41.38,41.09,41.31,1.355
2014-03-19,41.25,41.51,40.96,41.18,1.711
2014-03-20,41.08,41.31,40.99,41.07,1.138
2014-03-21,41.43,41.51,40.71,40.73,3.765
