Date,Open,High,Low,Close,Volume
2014-01-02,38.39,38.64,38.05,38.28,6.258
2014-01-03,38.25,38.39,37.77,38.03,4.622
2014-01-06,38.25,38.49,37.95,38.4,6.996
2014-01-07,38.24,39.04,38.17,39.01,8.348
2014-01-08,38.53,39.23,38.43,39.16,10.444
2014-01-09,39.36,39.86,38.85,39.25,9.394
2014-01-10,39.36,39.54,39.04,39.35,7.249
2014-01-13,39.2,39.59,38.95,39.04,9.008
2014-01-14,39.22,39.39,38.94,39.16,6.163
2014-01-15,39.29,39.32,38.94,39.11,6.001
2014-01-16,39.1,39.4,38.92,39.37,7.426
2014-01-17,39.46,39.48,38.97,39.22,7.221
2014-01-21,39.5,39.68,39.17,39.45,4.33
2014-01-22,39.51,39.58,38.73,38.96,5.34
2014-01-23,38.87,39.43,38.66,39.26,5.46
2014-01-24,39.02,39.2,38.53,38.97,7.231
2014-01-27,38.97,39.23,38.45,38.88,5.885
2014-01-28,38.9,39.95,38.9,39.8,5.858
2014-01-29,39.46,40.11,39.29,39.72,5.999
2014-01-30,39.89,40.27,39.8,40.15,7.432
2014-01-31,39.94,40.89,39.64,40.49,8.391
2014-02-03,40.49,40.76,39.29,39.33,6.638
2014-02-04,39.48,40.0,39.34,39.92,6.24
2014-02-05,39.94,40.41,39.49,39.85,17.5
2014-02-06,39.93,41.34,39.7,41.07,13.596
2014-02-07,41.28,41.54,41.0,41.42,11.088
2014-02-10,41.35,41.44,40.61,40.92,6.808
2014-02-11,40.93,41.9,40.83,41.76,9.482
2014-02-12,41.15,41.36,40.63,40.69,10.733
2014-02-13,40.59,41.31,40.32,40.85,14.208
2014-02-14,40.96,41.02,40.63,40.83,14.015
2014-02-18,41.03,41.15,40.45,40.54,8.695
2014-02-19,40.51,40.89,40.4,40.5,9.63
2014-02-20,40.6,42.47,40.44,42.0,13.289
2014-02-21,42.07,42.3,41.78,42.06,9.408
2014-02-24,42.31,42.37,41.59,41.77,7.692
2014-02-25,41.29,41.96,41.27,41.54,5.146
2014-02-26,41.65,41.69,40.74,41.22,7.367
2014-02-27,41.35,42.24,41.14,41.26,6.073
2014-02-28,41.42,41.69,41.08,41.3,5.219
2014-03-03,41.15,41.65,40.89,41.64,6.07
2014-03-04,41.91,42.66,41.9,42.63,7.465
2014-03-05,42.47,42.72,42.33,42.45,4.624
2014-03-06,42.42,42.83,42.41,42.65,6.849
2014-03-07,42.86,42.94,42.37,42.69,5.074
2014-03-10,42.55,42.58,41.9,42.08,2.993
2014-03-11,41.77,41.89,41.44,41.6,6.569
2014-03-12,41.02,41.28,40.78,41.18,3.458
2014-03-13,41.24,41.42,40.81,41.0,3.715
2014-03-14,41.03,41.56,41.0,41.41,3.528
2014-03-17,41.51,41.61,41.11,41.53,4.103
2014-03-18,41.57,41.84,41.29,41.59,2.366
2014-03-19,41.55,41.86,41.37,41.64,4.779
2014-03-20,40.94,41.08,40.45,40.86,6.387
2014-03-21,41.16,41.39,40.49,40.61,8.84
2014-03-24,40.12,41.08,40.12,40.76,3.087
2014-03-25,40.92,41.03,40.39,40.78,3.71
2014-03-26,40.91,41.1,39.96,40.0,6.152
2014-03-27,40.09,40.94,39.86,40.64,4.815
2014-03-28,40.82,40.99,40.6,40.92,3.607
2014-03-31,41.07,41.13,40.2,40.58,6.64
2014-04-01,39.97,41.03,39.96,41.03,6.724
2014-04-02,41.1,41.13,40.48,40.6,5.23
2014-04-03,40.71,40.93,40.43,40.6,3.589
2014-04-04,40.83,41.18,40.23,40.26,4.459
2014-04-07,40.26,40.51,39.31,39.64,5.515
2014-04-08,39.68,40.71,39.65,40.59,5.628
2014-04-09,40.81,40.89,40.46,40.79,2.996
2014-04-10,40.76,40.99,40.01,40.24,3.63
2014-04-11,39.92,40.37,39.9,40.14,4.768
2014-04-14,40.31,40.8,40.14,40.42,2.214
2014-04-15,40.37,40.83,40.16,40.7,2.94
2014-04-16,41.0,41.36,40.77,41.28,2.73
2014-04-17,41.18,41.93,41.15,41.79,3.45
2014-04-21,41.78,42.13,41.71,42.06,3.746
