Date,Open,High,Low,Close,Volume
2014-01-02,26.24,26.49,26.17,26.3,20.634
2014-01-03,26.27,26.38,26.17,26.22,14.872
2014-01-06,26.29,26.3,25.93,26.07,21.841
2014-01-07,26.06,26.28,25.97,26.15,15.037
2014-01-08,26.17,26.17,25.87,25.94,17.866
2014-01-09,26.13,26.13,25.83,26.03,17.749
2014-01-10,26.1,26.24,25.85,26.01,15.544
2014-01-13,25.87,25.99,25.75,25.83,18.474
2014-01-14,25.82,26.0,25.79,25.99,12.265
2014-01-15,25.99,26.03,25.86,25.89,14.977
2014-01-16,25.8,25.82,25.45,25.59,21.604
2014-01-17,25.58,25.61,25.34,25.4,34.322
2014-01-21,25.42,25.46,24.95,25.28,26.913
2014-01-22,25.36,25.36,25.01,25.12,17.561
2014-01-23,24.95,25.04,24.82,24.99,18.019
2014-01-24,24.91,25.04,24.74,24.81,27.998
2014-01-27,24.71,24.79,24.61,24.72,27.266
2014-01-28,24.75,25.13,24.7,24.89,18.07
2014-01-29,25.1,25.12,24.69,24.7,25.301
2014-01-30,24.85,25.03,24.79,24.92,20.199
2014-01-31,24.64,25.06,24.55,24.89,31.634
2014-02-03,24.73,24.83,24.18,24.22,31.292
2014-02-04,24.22,24.37,24.1,24.24,23.266
2014-02-05,24.09,24.39,24.09,24.29,14.323
2014-02-06,24.32,24.4,24.17,24.27,22.059
2014-02-07,24.35,24.6,24.17,24.58,21.863
2014-02-10,24.53,24.59,24.32,24.59,18.612
2014-02-11,24.63,24.95,24.56,24.93,19.534
2014-02-12,24.74,25.06,24.74,24.99,16.019
2014-02-13,24.89,25.16,24.85,25.12,15.751
2014-02-14,25.13,25.33,25.03,25.26,14.727
2014-02-18,25.16,25.22,24.95,25.11,17.981
2014-02-19,25.0,25.11,24.8,24.95,24.391
2014-02-20,24.35,24.67,24.27,24.51,39.237
2014-02-21,24.4,24.47,24.27,24.37,26.913
2014-02-24,24.41,24.61,24.38,24.45,21.964
2014-02-25,24.39,24.58,24.36,24.45,28.448
2014-02-26,24.65,25.03,24.6,24.93,27.067
2014-02-27,24.93,24.93,24.7,24.85,16.345
2014-02-28,24.83,25.06,24.73,24.9,22.334
2014-03-03,24.83,24.89,24.61,24.71,16.043
2014-03-04,24.92,25.16,24.89,25.04,22.631
2014-03-05,25.11,25.11,24.86,24.93,16.574
2014-03-06,24.95,25.04,24.84,24.96,15.32
2014-03-07,24.99,24.99,24.79,24.86,15.164
2014-03-10,24.84,24.87,24.68,24.81,14.481
2014-03-11,24.91,24.99,24.73,24.97,27.017
2014-03-12,24.95,25.25,24.94,25.18,25.883
2014-03-13,25.24,25.39,24.97,24.98,17.474
2014-03-14,24.89,25.02,24.76,24.76,19.857
2014-03-17,24.77,24.95,24.67,24.89,17.341
2014-03-18,24.89,25.0,24.82,24.92,11.831
2014-03-19,24.85,25.04,24.67,24.79,17.283
2014-03-20,24.67,25.23,24.62,25.13,25.912
2014-03-21,25.3,25.67,25.15,25.37,51.481
2014-03-24,25.4,25.6,25.37,25.59,21.838
2014-03-25,25.63,25.71,25.39,25.62,22.147
2014-03-26,25.69,25.84,25.41,25.41,23.183
2014-03-27,25.46,25.61,25.35,25.38,16.79
2014-03-28,25.42,25.53,25.26,25.34,17.613
2014-03-31,25.45,25.59,25.34,25.48,14.087
2014-04-01,25.59,25.75,25.51,25.59,17.31
2014-04-02,25.53,25.73,25.45,25.73,18.234
2014-04-03,25.73,25.85,25.67,25.82,18.122
2014-04-04,25.86,25.97,25.75,25.77,20.281
2014-04-07,25.74,25.91,25.7,25.77,23.027
2014-04-08,25.7,26.1,25.6,26.06,22.496
2014-04-09,26.07,26.07,25.76,25.99,20.633
2014-04-10,25.98,26.05,25.55,25.63,22.799
2014-04-11,25.59,25.74,25.43,25.5,23.937
2014-04-14,25.65,25.85,25.6,25.79,16.128
2014-04-15,25.68,25.77,25.48,25.63,20.786
2014-04-16,25.77,25.82,25.68,25.74,15.11
2014-04-17,25.69,25.92,25.69,25.89,20.894
2014-04-21,25.8,25.91,25.73,25.87,13.785
2014-04-22,25.84,25.94,25.8,25.85,19.396
2014-04-23,25.94,26.09,25.86,26.01,17.419
2014-04-24,26.06,26.16,25.9,26.1,13.042
2014-04-25,26.1,26.26,26.01,26.21,16.178
2014-04-28,26.29,26.66,26.28,26.59,28.796
2014-04-29,26.61,26.62,26.52,26.56,14.087
2014-04-30,26.53,26.64,26.5,26.57,18.335
2014-05-01,26.58,26.58,26.39,26.57,15.294
2014-05-02,26.53,26.59,26.34,26.37,16.86
2014-05-05,26.29,26.32,26.17,26.21,13.773
