Date,Open,High,Low,Close,Volume
2014-01-02,19.27,19.27,18.93,19.04,1.106
2014-01-03,19.01,19.06,18.94,18.97,0.802
2014-01-06,19.04,19.07,18.85,18.89,1.003
2014-01-07,18.9,19.03,18.81,18.83,1.299
2014-01-08,18.79,18.79,18.53,18.56,2.382
2014-01-09,18.6,18.68,18.53,18.64,2.552
2014-01-10,18.67,18.71,18.56,18.67,1.244
2014-01-13,18.66,18.68,18.39,18.45,1.05
2014-01-14,18.51,18.57,18.46,18.54,1.192
2014-01-15,18.58,18.59,18.47,18.52,1.383
2014-01-16,18.51,18.54,18.46,18.53,1.192
2014-01-17,18.53,18.55,18.43,18.45,1.237
2014-01-21,18.47,18.52,18.2,18.36,1.716
2014-01-22,18.42,18.5,18.33,18.45,1.624
2014-01-23,18.34,18.36,18.11,18.18,1.117
2014-01-24,18.06,18.12,17.86,17.86,1.127
2014-01-27,17.86,17.97,17.76,17.82,2.037
2014-01-28,17.87,18.27,17.83,18.2,2.621
2014-01-29,18.03,18.16,17.74,17.94,2.467
2014-01-30,17.75,17.77,17.5,17.55,3.244
2014-01-31,17.34,17.44,17.19,17.23,2.913
2014-02-03,17.2,17.24,16.81,16.86,4.948
2014-02-04,16.84,17.28,16.84,17.24,3.929
2014-02-05,17.23,17.27,17.03,17.07,2.106
2014-02-06,17.1,17.22,17.0,17.21,3.447
2014-02-07,17.25,17.34,17.14,17.3,1.845
2014-02-10,17.32,17.56,17.25,17.52,1.886
2014-02-11,17.53,17.8,17.51,17.76,1.597
2014-02-12,17.77,17.82,17.68,17.81,1.777
2014-02-13,17.71,17.91,17.68,17.88,1.322
2014-02-14,17.88,18.06,17.83,18.06,0.935
2014-02-18,18.09,18.12,17.9,18.04,1.437
2014-02-19,17.98,18.08,17.92,17.96,1.391
2014-02-20,18.2,18.24,18.02,18.12,1.315
2014-02-21,18.15,18.17,18.05,18.09,2.146
2014-02-24,18.08,18.16,18.02,18.05,1.391
2014-02-25,18.05,18.08,17.94,18.03,1.437
2014-02-26,18.04,18.08,17.94,18.08,1.434
2014-02-27,18.08,18.27,18.04,18.27,0.774
2014-02-28,18.28,18.46,18.24,18.33,1.188
2014-03-03,18.19,18.24,18.0,18.11,1.216
2014-03-04,18.3,18.37,18.21,18.24,1.4
2014-03-05,18.26,18.32,18.17,18.25,1.188
2014-03-06,18.3,18.34,18.17,18.19,1.236
2014-03-07,18.27,18.27,18.03,18.1,1.214
2014-03-10,18.07,18.11,17.96,18.1,1.148
2014-03-11,18.13,18.2,17.99,18.06,1.326
2014-03-12,18.03,18.14,17.95,18.11,1.417
2014-03-13,18.14,18.17,17.94,18.06,1.308
2014-03-14,18.04,18.17,17.97,18.08,1.383
2014-03-17,18.04,18.22,18.01,18.22,1.654
2014-03-18,18.24,18.31,18.16,18.28,1.373
2014-03-19,18.3,18.3,18.11,18.2,1.97
2014-03-20,18.14,18.23,18.09,18.17,1.294
2014-03-21,18.24,18.33,18.18,18.24,4.26
2014-03-24,18.28,18.33,18.16,18.21,0.944
2014-03-25,18.3,18.37,18.21,18.34,0.872
2014-03-26,18.42,18.51,18.23,18.23,1.287
2014-03-27,18.27,18.31,18.16,18.18,0.958
2014-03-28,18.25,18.34,18.15,18.2,0.814
2014-03-31,18.32,18.54,18.25,18.5,1.708
2014-04-01,18.5,18.53,18.16,18.4,1.61
2014-04-02,18.39,18.42,18.31,18.32,0.784
2014-04-03,18.36,18.51,18.28,18.49,0.698
2014-04-04,18.55,18.63,18.38,18.39,0.943
2014-04-07,18.37,18.4,18.2,18.23,0.848
2014-04-08,18.22,18.28,18.14,18.17,0.635
2014-04-09,18.26,18.4,18.12,18.4,0.738
2014-04-10,18.36,18.53,18.2,18.2,1.234
2014-04-11,18.16,18.16,18.04,18.05,0.748
2014-04-14,18.2,18.21,18.04,18.17,0.618
2014-04-15,18.2,18.25,18.03,18.25,0.665
2014-04-16,18.36,18.43,18.29,18.41,0.929
2014-04-17,18.41,18.53,18.37,18.4,0.619
2014-04-21,18.38,18.41,18.3,18.4,0.52
2014-04-22,18.42,18.48,18.33,18.44,0.836
2014-04-23,18.88,19.08,18.71,18.92,1.831
2014-04-24,19.01,19.26,18.96,19.19,1.269
2014-04-25,19.2,19.21,19.01,19.08,1.166
2014-04-28,19.16,19.39,19.16,19.34,1.199
2014-04-29,19.41,19.62,19.37,19.61,1.701
2014-04-30,19.57,19.7,19.36,19.66,1.976
2014-05-01,19.69,19.72,19.54,19.71,1.615
2014-05-02,19.7,19.89,19.69,19.84,1.432
2014-05-05,19.75,19.79,19.57,19.73,0.969
2014-05-06,19.69,19.71,19.55,19.58,1.365
2014-05-07,19.58,20.0,19.58,20.0,1.421
2014-05-08,19.98,20.08,19.72,19.74,1.32
2014-05-09,19.71,19.81,19.61,19.72,0.786
2014-05-12,19.79,19.92,19.75,19.84,0.959
2014-05-13,19.85,19.93,19.77,19.81,1.126
2014-05-14,19.83,19.84,19.57,19.68,1.026
2014-05-15,19.67,19.67,19.33,19.55,0.968
2014-05-16,19.52,19.56,19.41,19.56,0.655
2014-05-19,19.54,19.61,19.46,19.6,0.889
2014-05-20,19.6,19.6,19.4,19.51,0.934
2014-05-21,19.52,19.61,19.44,19.6,0.83
2014-05-22,19.56,19.6,19.46,19.55,1.188
2014-05-23,19.57,19.68,19.51,19.62,1.035
2014-05-27,19.67,19.75,19.64,19.69,0.603
2014-05-28,19.71,19.73,19.59,19.67,0.587
2014-05-29,19.71,19.82,19.66,19.79,0.519
2014-05-30,19.78,19.83,19.72,19.81,1.384
2014-06-02,19.83,19.93,19.76,19.83,0.997
2014-06-03,19.8,19.85,19.7,19.82,0.859
2014-06-04,19.83,20.09,19.83,20.06,0.841
2014-06-05,20.06,20.18,19.98,20.14,0.7
2014-06-06,20.13,20.26,20.13,20.16,0.637
2014-06-09,20.15,20.25,20.14,20.2,0.536
2014-06-10,20.14,20.18,20.07,20.11,0.792
2014-06-11,20.07,20.14,20.03,20.11,0.475
2014-06-12,20.11,20.12,19.95,20.06,0.738
2014-06-13,20.04,20.13,19.99,20.08,0.403
2014-06-16,20.07,20.16,19.96,20.01,0.826
2014-06-17,20.0,20.29,19.93,20.25,1.111
2014-06-18,20.25,20.46,20.24,20.4,1.191
2014-06-19,20.44,20.54,20.36,20.5,1.08
2014-06-20,20.5,20.56,20.37,20.43,1.487
2014-06-23,20.46,20.48,20.35,20.4,1.977
2014-06-24,20.35,20.49,20.24,20.25,0.815
2014-06-25,20.31,20.35,20.22,20.28,1.215
2014-06-26,20.31,20.32,20.12,20.31,0.688
2014-06-27,20.28,20.48,20.28,20.48,1.825
2014-06-30,20.47,20.6,20.38,20.58,1.405
2014-07-01,20.68,20.85,20.56,20.58,2.068
2014-07-02,20.58,20.64,20.45,20.5,0.686
2014-07-03,20.51,20.62,20.51,20.62,0.43
2014-07-07,20.62,20.64,20.54,20.62,0.941
2014-07-08,20.56,20.63,20.5,20.54,0.863
2014-07-09,20.54,20.59,20.47,20.52,0.662
2014-07-10,20.36,20.55,20.25,20.52,0.789
2014-07-11,20.51,20.55,20.44,20.5,0.539
2014-07-14,20.59,20.7,20.56,20.61,0.574
2014-07-15,20.67,20.75,20.44,20.47,1.253
2014-07-16,20.58,20.6,20.38,20.48,1.251
2014-07-17,20.49,20.64,20.28,20.32,0.732
2014-07-18,20.36,20.4,20.25,20.39,0.708
2014-07-21,20.28,20.32,20.19,20.28,0.769
2014-07-22,20.28,20.28,20.08,20.09,1.188
2014-07-23,20.11,20.13,20.03,20.11,0.817
2014-07-24,20.12,20.15,20.04,20.12,1.288
2014-07-25,20.07,20.07,19.89,19.93,1.213
2014-07-28,19.95,20.03,19.76,19.88,1.381
2014-07-29,20.33,20.65,19.86,20.04,2.796
2014-07-30,20.13,20.17,19.7,19.97,2.037
2014-07-31,19.87,19.93,19.69,19.83,1.668
2014-08-01,19.82,19.91,19.69,19.87,1.943
2014-08-04,19.92,19.92,19.71,19.88,1.29
2014-08-05,19.88,19.95,19.77,19.9,1.375
2014-08-06,19.87,20.04,19.78,20.03,0.735
2014-08-07,20.12,20.16,19.95,20.04,1.169
2014-08-08,19.99,20.15,19.97,20.14,0.737
2014-08-11,20.22,20.28,20.08,20.28,1.089
2014-08-12,20.3,20.53,20.25,20.47,1.608
2014-08-13,20.5,20.64,20.45,20.62,1.065
2014-08-14,20.63,20.85,20.62,20.85,0.926
2014-08-15,20.94,21.0,20.78,20.93,0.895
2014-08-18,21.03,21.07,20.95,21.03,1.124
