Date,Open,High,Low,Close,Volume
2014-01-02,49.06,49.07,48.2,48.68,0.21
2014-01-03,48.67,49.48,48.67,49.12,0.224
2014-01-06,49.32,49.32,48.53,48.85,0.278
2014-01-07,48.93,49.59,48.67,49.22,0.376
2014-01-08,49.22,49.97,48.94,49.93,0.601
2014-01-09,50.1,50.66,48.64,49.57,0.52
2014-01-10,49.51,49.88,49.06,49.69,0.596
2014-01-13,49.76,50.44,49.01,49.27,0.473
2014-01-14,49.57,50.32,49.53,50.24,0.464
2014-01-15,50.32,50.88,49.76,50.47,0.441
2014-01-16,50.3,51.1,50.2,51.01,0.323
2014-01-17,50.77,51.12,50.0,50.23,1.795
2014-01-21,50.44,50.44,49.49,50.16,0.505
2014-01-22,50.14,50.16,49.53,49.81,0.344
2014-01-23,49.47,49.68,48.92,49.63,0.389
2014-01-24,49.16,49.42,48.11,48.21,0.239
2014-01-27,48.25,48.36,47.18,47.33,0.426
2014-01-28,47.41,48.21,47.07,48.2,0.372
2014-01-29,47.76,48.14,47.19,47.42,0.328
2014-01-30,47.89,48.48,47.56,48.17,0.278
2014-01-31,47.46,47.92,47.08,47.45,0.316
2014-02-03,47.39,47.45,46.01,46.32,0.44
2014-02-04,46.47,46.81,45.86,45.91,0.264
2014-02-05,45.76,46.06,45.16,45.84,0.334
2014-02-06,46.02,46.39,45.71,46.25,0.233
2014-02-07,46.38,47.08,46.34,47.05,0.279
2014-02-10,47.0,47.82,46.73,47.49,0.274
2014-02-11,47.41,48.06,47.25,47.85,0.156
2014-02-12,47.84,48.34,47.45,47.61,0.18
2014-02-13,47.31,48.61,47.14,48.49,0.177
2014-02-14,48.49,48.72,48.03,48.11,0.134
2014-02-18,48.2,48.94,48.2,48.69,0.232
2014-02-19,48.49,48.85,47.62,47.74,0.208
2014-02-20,47.67,48.56,44.79,48.42,0.55
2014-02-21,48.44,48.55,47.71,48.12,0.324
2014-02-24,48.0,48.0,47.18,47.34,0.286
2014-02-25,47.35,47.44,46.31,46.42,0.178
2014-02-26,46.5,46.78,46.01,46.2,0.278
2014-02-27,46.06,46.19,45.55,45.8,0.214
2014-02-28,45.94,46.35,45.31,45.58,0.266
2014-03-03,45.33,45.54,44.94,45.1,0.25
2014-03-04,45.5,46.92,45.27,46.62,0.516
2014-03-05,46.53,46.84,46.17,46.62,0.272
2014-03-06,46.66,46.93,46.48,46.81,0.217
2014-03-07,47.23,47.35,46.34,46.52,0.216
2014-03-10,46.43,46.59,46.16,46.3,0.181
2014-03-11,46.36,46.5,45.49,45.55,0.204
2014-03-12,45.37,45.93,45.12,45.91,0.134
2014-03-13,46.1,46.3,45.36,45.49,0.181
2014-03-14,45.23,45.8,44.52,44.75,0.344
2014-03-17,44.9,45.25,44.88,45.2,0.232
2014-03-18,45.33,45.55,45.16,45.52,0.218
2014-03-19,45.39,45.6,44.85,45.22,0.187
2014-03-20,45.14,45.4,44.91,45.12,0.222
2014-03-21,45.17,45.49,44.24,44.47,0.638
2014-03-24,44.56,44.63,43.25,43.49,0.351
2014-03-25,43.69,44.32,43.69,43.79,0.265
2014-03-26,44.05,44.08,42.84,42.86,0.226
2014-03-27,42.91,43.11,42.25,42.48,0.273
2014-03-28,42.48,42.72,41.41,41.68,0.426
2014-03-31,42.07,44.36,41.83,44.05,0.356
2014-04-01,44.13,44.83,43.87,44.83,0.369
2014-04-02,44.8,45.35,44.46,45.22,0.253
2014-04-03,45.33,45.49,44.8,45.01,0.224
2014-04-04,45.22,45.39,44.17,44.5,0.499
2014-04-07,44.4,44.67,43.85,43.91,0.422
2014-04-08,43.99,44.35,43.17,44.18,0.339
2014-04-09,44.44,45.73,44.35,45.46,0.373
2014-04-10,45.39,45.69,43.72,43.91,0.294
2014-04-11,43.45,43.99,42.44,42.82,0.326
2014-04-14,43.28,43.43,42.67,43.05,0.285
