Date,Open,High,Low,Close,Volume
2014-01-02,118.7,118.86,116.5,117.03,0.185
2014-01-03,116.93,117.35,115.81,115.97,0.269
2014-01-06,115.97,116.26,115.21,116.0,0.386
2014-01-07,116.19,117.35,115.87,116.34,0.341
2014-01-08,116.13,116.87,115.76,116.53,0.218
2014-01-09,116.32,117.99,112.48,117.35,0.28
2014-01-10,117.7,117.77,116.48,117.11,0.344
2014-01-13,117.06,117.64,116.32,116.74,0.261
2014-01-14,116.82,117.7,116.69,117.48,0.191
2014-01-15,117.88,118.04,117.27,117.96,0.19
2014-01-16,117.88,117.88,117.03,117.35,0.339
2014-01-17,117.72,117.72,117.01,117.51,0.105
2014-01-21,117.77,118.68,117.59,118.68,0.174
2014-01-22,119.13,120.21,118.62,120.05,0.193
2014-01-23,119.71,119.71,118.07,118.83,0.188
2014-01-24,118.28,118.28,115.68,115.74,0.222
2014-01-27,115.74,115.81,114.3,114.57,0.153
2014-01-28,114.62,116.16,114.17,115.63,0.157
2014-01-29,114.65,115.6,113.25,114.6,0.108
2014-01-30,115.18,116.4,114.83,115.34,0.257
2014-01-31,114.23,114.78,113.27,114.07,0.198
2014-02-03,113.88,114.97,111.47,111.55,0.118
2014-02-04,111.81,112.61,110.65,110.86,0.157
2014-02-05,110.81,111.76,110.28,111.47,0.125
2014-02-06,111.58,112.24,110.54,110.62,0.124
2014-02-07,110.78,112.98,110.78,112.93,0.147
2014-02-10,113.14,114.25,112.98,113.93,0.141
2014-02-11,114.46,115.92,114.07,115.36,0.134
2014-02-12,111.05,113.14,110.12,110.36,0.559
2014-02-13,109.72,110.52,109.4,109.67,0.562
2014-02-14,109.75,110.65,109.64,109.83,0.377
2014-02-18,109.56,110.38,109.38,109.93,0.281
2014-02-19,109.75,111.02,109.4,110.68,0.164
2014-02-20,110.6,112.85,110.12,112.72,0.268
2014-02-21,112.79,113.09,111.87,111.97,0.182
2014-02-24,112.0,112.42,111.76,111.76,0.215
