Date,Open,High,Low,Close,Volume
2014-01-02,31.38,31.58,31.17,31.27,2.75
2014-01-03,31.18,31.59,31.18,31.34,1.946
2014-01-06,31.41,31.43,30.8,31.02,3.341
2014-01-07,30.99,31.28,30.49,31.11,4.501
2014-01-08,31.0,31.04,30.57,30.82,4.59
2014-01-09,30.98,31.05,30.67,31.0,2.776
2014-01-10,31.11,31.32,30.98,31.06,2.138
2014-01-13,30.91,31.04,30.48,30.58,2.063
2014-01-14,30.69,31.08,30.62,30.94,2.141
2014-01-15,30.99,31.21,30.84,31.05,2.083
2014-01-16,31.01,31.3,31.0,31.17,2.553
2014-01-17,31.23,31.25,30.9,30.97,2.516
2014-01-21,31.04,31.23,30.9,31.15,2.417
2014-01-22,31.17,31.36,31.06,31.11,2.194
2014-01-23,30.9,31.06,30.53,30.56,4.262
2014-01-24,30.41,30.62,30.16,30.19,4.9
2014-01-27,30.22,30.68,30.11,30.33,4.264
2014-01-28,30.46,31.05,30.45,30.73,3.822
2014-01-29,30.52,30.84,30.4,30.54,2.868
2014-01-30,30.75,30.89,30.58,30.77,2.777
2014-01-31,29.93,30.27,29.66,29.88,6.996
2014-02-03,29.88,30.12,29.19,29.39,4.852
2014-02-04,29.44,29.65,29.22,29.41,3.551
2014-02-05,29.32,29.33,28.84,29.07,5.451
2014-02-06,29.12,29.61,29.06,29.51,2.924
2014-02-07,29.64,29.9,29.35,29.88,3.377
2014-02-10,29.84,30.03,29.6,30.01,2.944
2014-02-11,29.97,30.24,29.84,30.19,2.528
2014-02-12,30.23,30.31,30.01,30.28,2.673
2014-02-13,30.11,30.45,30.08,30.39,2.302
2014-02-14,30.32,30.53,30.27,30.45,2.159
2014-02-18,30.44,30.55,30.3,30.51,2.123
2014-02-19,30.4,30.59,30.25,30.35,3.485
2014-02-20,30.35,30.6,30.29,30.45,2.72
2014-02-21,30.42,30.43,30.13,30.18,2.99
2014-02-24,30.19,30.43,30.18,30.21,3.287
2014-02-25,30.22,30.23,29.86,29.92,4.589
2014-02-26,29.78,30.07,29.7,29.85,3.814
2014-02-27,29.89,29.98,29.38,29.51,4.603
2014-02-28,29.55,29.65,29.32,29.51,5.392
2014-03-03,29.37,29.53,29.19,29.28,4.772
2014-03-04,29.6,29.64,29.43,29.62,5.296
2014-03-05,29.59,29.86,29.39,29.82,5.059
2014-03-06,29.84,30.29,29.84,30.16,2.912
2014-03-07,30.23,30.28,29.78,29.79,3.323
