Date,Open,High,Low,Close,Volume
2014-01-02,194.14,199.88,193.12,197.94,3.055
2014-01-03,198.15,198.75,195.12,196.0,1.169
2014-01-06,198.29,198.84,195.2,195.86,1.289
2014-01-07,196.65,202.88,196.65,201.51,1.686
2014-01-08,202.67,205.4,201.37,205.29,1.406
2014-01-09,205.75,206.49,203.15,204.77,1.228
2014-01-10,204.35,207.24,202.26,206.86,1.151
2014-01-13,206.1,209.74,203.36,203.47,1.619
2014-01-14,203.94,207.94,202.54,207.6,1.588
2014-01-15,207.9,210.41,207.09,210.1,1.025
2014-01-16,209.06,210.12,207.84,210.09,0.904
2014-01-17,209.28,215.99,209.28,215.7,1.706
2014-01-21,216.56,216.99,209.98,212.27,1.816
2014-01-22,209.42,209.5,206.03,208.79,1.767
2014-01-23,206.5,206.9,203.72,205.26,1.758
2014-01-24,203.89,204.34,192.96,193.14,3.08
2014-01-27,195.07,195.79,189.03,191.83,2.996
2014-01-28,193.0,198.8,193.0,197.15,1.596
2014-01-29,195.56,196.54,193.12,193.87,1.717
2014-01-30,196.39,202.73,195.48,201.51,2.48
2014-01-31,205.27,219.91,204.31,217.42,4.801
2014-02-03,216.06,216.62,205.8,209.47,3.341
2014-02-04,211.51,214.16,208.31,213.55,2.159
2014-02-05,202.99,211.0,202.2,209.55,3.298
2014-02-06,212.88,217.5,211.0,216.7,1.957
2014-02-07,217.92,222.45,216.04,221.95,1.664
2014-02-10,222.18,224.62,221.34,222.37,1.905
2014-02-11,222.01,224.94,220.17,224.29,1.632
2014-02-12,224.89,226.0,220.0,221.12,1.415
2014-02-13,219.02,223.76,218.01,221.28,1.55
2014-02-14,220.3,222.45,219.6,222.34,0.943
2014-02-18,222.21,225.86,221.51,224.1,1.27
2014-02-19,223.32,223.99,219.21,220.92,1.521
2014-02-20,220.95,225.92,220.94,223.5,1.743
2014-02-21,224.5,228.75,221.84,228.35,1.791
2014-02-24,229.57,236.61,229.19,235.59,1.759
2014-02-25,236.76,240.52,233.61,235.15,1.689
2014-02-26,235.86,240.03,234.46,236.89,1.432
2014-02-27,237.6,242.22,236.22,241.96,1.449
2014-02-28,242.06,244.0,239.5,242.49,1.485
2014-03-03,239.57,244.58,238.07,242.88,1.727
2014-03-04,245.26,248.0,244.44,247.95,1.16
2014-03-05,248.72,249.31,245.6,247.76,0.905
2014-03-06,248.99,249.1,247.0,247.83,1.134
2014-03-07,248.85,249.25,244.97,246.65,0.848
2014-03-10,246.71,246.88,239.64,240.57,1.33
2014-03-11,241.99,245.21,238.9,240.13,1.124
2014-03-12,238.75,240.14,236.08,239.54,1.281
2014-03-13,240.0,240.97,230.82,232.23,1.429
2014-03-14,230.31,231.54,227.18,229.65,1.705
2014-03-17,230.57,235.36,229.52,233.28,1.217
2014-03-18,233.33,236.9,232.09,234.32,0.894
2014-03-19,233.94,236.23,227.77,229.01,1.048
2014-03-20,227.29,229.4,224.27,228.59,1.183
2014-03-21,227.56,231.95,226.06,226.2,1.284
2014-03-24,227.23,227.39,219.25,224.29,1.337
2014-03-25,225.19,226.69,219.46,219.5,1.596
2014-03-26,220.87,221.0,212.76,214.87,2.644
2014-03-27,211.51,214.16,207.06,213.76,2.746
2014-03-28,214.11,220.5,212.97,217.51,2.115
2014-03-31,219.88,225.69,219.38,222.15,1.681
2014-04-01,229.42,231.0,226.35,227.18,1.691
2014-04-02,230.0,230.43,225.77,227.46,0.989
2014-04-03,226.95,229.78,220.29,222.32,1.223
2014-04-04,223.18,225.5,211.73,213.64,1.786
2014-04-07,212.81,212.98,206.32,210.71,2.497
2014-04-08,210.84,215.0,207.45,212.87,2.197
2014-04-09,216.64,222.11,214.41,220.3,1.635
2014-04-10,222.02,224.68,209.3,210.84,2.089
2014-04-11,208.04,214.27,206.0,211.33,1.707
2014-04-14,212.78,218.0,208.0,210.4,1.999
2014-04-15,210.24,211.62,194.64,202.82,3.892
2014-04-16,204.7,209.0,202.9,205.0,2.44
2014-04-17,204.59,209.08,204.38,208.0,1.862
2014-04-21,207.5,209.9,202.64,204.44,1.338
2014-04-22,208.0,216.99,206.83,216.09,1.865
2014-04-23,216.65,217.54,205.44,206.82,2.116
2014-04-24,209.12,213.4,206.1,213.13,2.515
2014-04-25,211.22,211.94,200.18,201.49,2.456
2014-04-28,201.78,204.36,188.43,193.64,3.76
2014-04-29,196.36,204.87,195.43,203.61,2.517
2014-04-30,199.92,204.86,198.23,203.89,1.732
2014-05-01,205.22,207.5,200.92,206.63,2.691
2014-05-02,214.3,222.33,213.0,221.68,3.981
2014-05-05,219.73,220.06,214.01,216.65,2.698
2014-05-06,216.16,217.85,207.48,207.55,2.412
2014-05-07,207.4,209.58,196.55,204.94,3.471
2014-05-08,197.67,207.0,195.1,196.45,3.542
2014-05-09,198.94,201.9,196.4,200.49,1.64
2014-05-12,200.8,207.24,200.8,203.68,1.753
2014-05-13,203.75,207.39,201.43,206.0,1.72
2014-05-14,205.31,205.46,200.07,201.22,2.391
2014-05-15,200.97,202.35,195.09,201.72,2.148
2014-05-16,201.84,203.35,197.52,201.77,2.366
2014-05-19,200.48,206.3,198.52,203.56,6.95
2014-05-20,202.09,204.34,199.08,200.2,2.033
2014-05-21,201.13,205.0,200.55,204.85,1.555
2014-05-22,205.75,210.26,204.66,208.35,1.594
2014-05-23,208.77,209.25,205.17,207.86,1.304
2014-05-27,208.32,215.98,208.32,215.65,2.183
2014-05-28,216.68,218.64,214.45,218.01,1.584
2014-05-29,218.24,220.0,215.73,219.99,0.944
2014-05-30,220.0,220.0,213.96,214.97,1.36
2014-06-02,215.23,218.04,213.6,218.02,0.695
2014-06-03,212.93,212.93,206.6,208.23,2.202
2014-06-04,206.52,211.0,206.0,210.21,1.033
2014-06-05,210.14,211.99,205.59,205.85,1.344
2014-06-06,206.29,207.17,204.07,204.98,0.875
2014-06-09,200.24,201.49,195.8,199.05,2.572
2014-06-10,197.16,198.23,193.5,197.87,2.565
2014-06-11,198.83,202.0,198.24,201.08,1.374
2014-06-12,201.08,201.88,196.77,197.21,1.08
2014-06-13,198.02,201.47,197.04,201.06,1.078
2014-06-16,198.5,199.91,197.0,199.12,1.053
2014-06-17,197.5,198.73,196.25,197.45,1.35
2014-06-18,196.09,199.62,194.73,199.4,1.26
2014-06-19,200.79,205.0,200.7,202.61,1.463
2014-06-20,202.9,203.66,200.15,200.79,1.696
2014-06-23,199.12,201.45,197.18,201.16,1.394
2014-06-24,201.7,204.91,201.13,201.64,1.547
2014-06-25,201.19,204.98,200.62,203.6,1.166
2014-06-26,206.6,210.15,206.13,208.04,1.745
2014-06-27,209.72,211.01,206.61,206.89,1.111
2014-06-30,208.02,208.51,205.51,207.56,0.899
2014-07-01,207.93,212.36,207.64,210.14,1.118
2014-07-02,210.14,212.73,209.41,211.63,1.362
2014-07-03,212.05,213.08,211.01,211.91,0.672
2014-07-07,209.43,210.93,206.4,208.58,1.303
2014-07-08,206.96,207.94,200.66,202.18,1.644
2014-07-09,201.5,206.23,199.37,206.06,1.292
2014-07-10,201.98,204.3,200.25,203.19,0.874
2014-07-11,202.62,204.3,201.3,202.73,0.659
2014-07-14,204.65,207.39,202.6,202.92,0.905
2014-07-15,204.64,205.16,200.25,202.51,1.159
2014-07-16,204.12,204.8,202.21,203.86,1.229
2014-07-17,199.37,203.1,198.5,199.19,2.112
2014-07-18,200.62,202.0,199.91,201.0,1.013
2014-07-21,200.1,202.61,199.6,202.51,1.184
2014-07-22,203.87,208.37,203.38,207.29,1.218
2014-07-23,207.37,207.97,205.33,206.25,0.792
2014-07-24,207.22,208.26,204.49,205.03,0.82
2014-07-25,203.9,206.15,203.01,204.47,0.833
2014-07-28,205.66,211.09,205.66,210.97,2.772
2014-07-29,211.26,220.5,211.2,217.41,5.161
2014-07-30,218.3,219.2,214.74,218.61,1.766
2014-07-31,216.19,218.68,212.72,213.2,1.962
2014-08-01,212.57,214.57,208.36,210.04,1.69
2014-08-04,210.0,214.32,208.57,213.5,1.253
2014-08-05,212.42,213.92,207.53,209.09,1.218
2014-08-06,204.97,205.55,198.95,200.54,3.62
2014-08-07,199.71,202.56,194.27,195.18,3.478
2014-08-08,195.66,201.59,194.45,200.72,2.402
2014-08-11,201.02,202.85,197.8,200.24,1.196
2014-08-12,200.43,201.99,197.54,200.2,1.145
2014-08-13,201.33,204.73,201.0,201.34,1.204
2014-08-14,202.07,203.5,200.6,202.23,0.833
2014-08-15,202.99,203.68,198.8,201.33,1.016
2014-08-18,202.66,203.5,200.35,202.9,0.84
2014-08-19,203.73,205.48,202.19,203.36,0.856
2014-08-20,204.65,204.65,201.73,202.53,0.684
2014-08-21,202.77,202.88,200.5,200.51,0.72
2014-08-22,198.53,200.34,198.35,200.12,1.057
2014-08-25,201.02,201.31,198.36,200.46,1.259
2014-08-26,199.19,200.0,197.13,199.28,1.385
2014-08-27,199.15,199.37,195.28,196.2,1.748
2014-08-28,195.45,197.6,193.07,196.79,1.557
2014-08-29,197.32,197.32,191.89,192.88,2.037
2014-09-02,189.1,189.96,180.63,185.05,4.726
2014-09-03,185.12,187.88,183.92,185.24,1.898
2014-09-04,185.5,186.85,183.98,184.77,1.871
2014-09-05,184.48,185.96,182.32,185.66,1.97
2014-09-08,186.33,186.33,183.11,184.71,1.517
2014-09-09,184.7,186.57,183.2,184.26,1.231
2014-09-10,182.58,183.12,180.75,182.28,2.084
2014-09-11,181.11,186.9,181.09,186.1,1.782
2014-09-12,186.2,186.52,182.0,182.53,1.523
2014-09-15,182.1,182.66,179.37,180.72,1.623
2014-09-16,175.44,181.03,172.53,179.87,3.835
2014-09-17,177.5,184.22,177.17,183.1,2.269
2014-09-18,184.65,190.45,184.56,187.83,3.375
2014-09-19,189.52,189.52,183.73,185.28,1.893
