Date,Open,High,Low,Close,Volume
2014-01-02,27.91,27.94,27.5,27.51,3.192
2014-01-03,27.48,27.64,27.38,27.5,2.939
2014-01-06,27.56,27.62,27.27,27.35,3.382
2014-01-07,27.45,27.85,27.4,27.82,3.482
2014-01-08,27.76,27.84,27.66,27.71,3.564
2014-01-09,27.76,27.9,27.64,27.82,2.647
2014-01-10,27.88,28.38,27.88,28.25,3.204
2014-01-13,28.23,28.31,27.97,28.04,2.739
2014-01-14,28.29,28.3,28.02,28.12,3.436
2014-01-15,28.14,28.2,27.98,28.02,2.104
2014-01-16,28.0,28.24,27.91,28.2,2.888
2014-01-17,28.21,28.34,28.13,28.2,2.902
2014-01-21,28.31,28.49,28.18,28.45,2.438
2014-01-22,28.44,28.58,28.42,28.55,1.518
2014-01-23,28.43,28.54,28.3,28.48,2.175
2014-01-24,28.4,28.62,28.06,28.06,3.667
2014-01-27,28.1,28.32,28.03,28.18,2.905
2014-01-28,28.2,28.23,28.02,28.2,2.764
2014-01-29,28.09,28.32,28.05,28.16,3.525
2014-01-30,28.34,28.73,28.19,28.73,2.804
2014-01-31,28.51,29.02,28.43,28.91,3.546
2014-02-03,28.94,29.33,28.58,28.61,3.712
2014-02-04,28.7,28.76,28.34,28.42,3.34
2014-02-05,28.35,28.44,28.21,28.27,2.352
2014-02-06,28.26,28.52,28.21,28.46,1.773
2014-02-07,28.53,28.64,28.38,28.63,1.643
2014-02-10,28.54,28.77,28.33,28.75,1.348
2014-02-11,28.72,29.07,28.68,29.01,1.784
2014-02-12,29.02,29.21,28.92,29.12,2.259
2014-02-13,28.99,29.45,28.98,29.43,1.963
2014-02-14,29.36,29.65,29.29,29.65,1.707
2014-02-18,29.76,29.81,29.6,29.69,1.997
2014-02-19,29.64,29.79,29.48,29.54,1.923
2014-02-20,29.58,29.89,29.52,29.83,1.607
2014-02-21,29.77,30.17,29.74,30.05,3.16
2014-02-24,30.09,30.21,29.98,29.98,3.589
2014-02-25,29.93,30.12,29.88,30.0,2.465
2014-02-26,30.12,30.15,29.87,29.91,2.085
2014-02-27,29.92,30.09,29.8,29.93,2.243
2014-02-28,29.99,30.33,29.98,30.29,3.064
2014-03-03,30.2,30.32,29.98,30.01,3.593
2014-03-04,30.25,30.3,30.13,30.27,3.187
2014-03-05,30.26,30.27,30.02,30.03,2.934
2014-03-06,30.03,30.1,29.81,29.87,2.56
2014-03-07,29.86,29.89,29.57,29.89,3.481
