Date,Open,High,Low,Close,Volume
2014-01-02,100.6,100.76,99.39,99.75,11.028
2014-01-03,99.77,100.17,99.14,99.51,9.296
2014-01-06,99.94,100.14,98.89,99.66,11.848
2014-01-07,99.61,101.22,99.42,101.07,11.187
2014-01-08,101.19,101.19,100.15,100.74,11.18
2014-01-09,100.2,100.39,99.03,99.76,11.674
2014-01-10,99.99,100.63,99.12,100.52,10.535
2014-01-13,99.91,100.1,98.27,98.55,12.111
2014-01-14,98.8,99.27,98.65,99.12,9.265
2014-01-15,99.16,99.35,98.63,98.78,9.426
2014-01-16,98.79,99.04,98.25,98.94,9.422
2014-01-17,99.18,100.34,98.67,99.16,15.998
2014-01-21,98.57,98.89,98.04,98.5,13.847
2014-01-22,98.88,98.95,97.84,97.88,11.643
2014-01-23,97.25,97.39,96.01,96.97,15.393
2014-01-24,96.18,96.25,94.82,94.85,14.584
2014-01-27,95.08,95.58,94.75,94.92,12.475
2014-01-28,95.35,95.92,94.77,95.65,10.774
2014-01-29,94.93,96.2,94.65,95.11,13.192
2014-01-30,94.0,94.95,93.06,93.99,14.628
2014-01-31,92.85,93.28,91.7,92.16,17.361
2014-02-03,91.92,92.31,89.64,90.05,20.378
2014-02-04,90.37,90.64,89.39,90.02,17.414
2014-02-05,90.31,90.61,89.38,89.58,16.394
2014-02-06,89.51,90.18,89.25,89.8,13.646
2014-02-07,90.12,90.63,89.75,90.58,12.574
2014-02-10,90.45,90.53,89.36,89.52,12.238
2014-02-11,89.56,91.0,89.4,90.84,13.423
2014-02-12,91.01,91.86,90.64,91.08,10.752
2014-02-13,90.59,91.65,90.4,91.43,9.775
2014-02-14,91.81,94.43,91.6,94.11,18.26
2014-02-18,94.07,94.72,93.36,94.07,12.979
2014-02-19,93.8,95.29,93.8,93.95,12.228
2014-02-20,93.85,95.77,93.75,95.37,14.424
2014-02-21,95.48,95.58,94.94,95.03,11.282
2014-02-24,95.61,97.25,95.41,96.44,16.012
2014-02-25,96.54,96.97,95.96,96.31,10.663
2014-02-26,96.56,96.86,95.53,95.79,9.088
2014-02-27,95.58,96.05,95.16,95.84,9.101
2014-02-28,95.96,96.83,95.78,96.27,12.651
2014-03-03,95.76,96.54,94.83,95.5,11.897
2014-03-04,96.59,96.86,95.87,96.52,12.566
2014-03-05,95.2,95.29,93.4,93.8,19.83
2014-03-06,93.67,93.94,93.27,93.76,12.61
2014-03-07,94.37,95.06,93.99,94.99,12.659
2014-03-10,95.15,95.55,94.66,95.5,9.964
2014-03-11,95.36,95.59,93.52,94.01,12.144
2014-03-12,93.64,94.47,93.55,94.21,9.705
2014-03-13,94.44,94.57,93.33,93.64,9.872
2014-03-14,93.58,94.22,93.29,93.47,11.723
2014-03-17,93.95,94.53,93.75,94.32,8.676
2014-03-18,94.41,95.25,94.07,94.71,8.757
2014-03-19,94.65,95.3,93.13,93.73,9.915
2014-03-20,93.44,94.74,93.01,94.58,10.405
2014-03-21,95.1,95.99,94.31,94.31,24.48
2014-03-24,94.76,95.1,94.48,94.64,9.54
2014-03-25,95.1,95.82,94.8,94.91,9.797
2014-03-26,95.56,95.58,94.41,94.7,11.033
2014-03-27,94.61,96.5,94.06,96.24,15.428
2014-03-28,96.47,97.97,96.47,97.7,12.322
2014-03-31,98.49,98.85,97.32,97.68,12.375
2014-04-01,97.65,97.93,97.28,97.73,9.475
2014-04-02,97.53,98.06,97.18,97.95,9.551
2014-04-03,97.83,98.54,97.56,97.93,10.113
2014-04-04,98.3,98.71,97.28,97.36,12.496
2014-04-07,97.25,97.53,96.75,96.78,10.121
2014-04-08,97.01,97.88,96.75,97.45,10.243
2014-04-09,97.75,97.79,96.63,97.33,10.464
2014-04-10,96.98,97.78,96.24,96.78,13.443
2014-04-11,96.51,97.44,96.28,96.72,13.352
2014-04-14,97.49,98.06,96.74,97.86,9.61
2014-04-15,97.58,98.7,97.07,98.68,12.962
2014-04-16,99.05,100.1,98.97,99.94,12.508
2014-04-17,99.69,100.97,99.69,100.42,15.436
2014-04-21,100.03,100.93,99.89,100.93,8.002
2014-04-22,100.53,100.86,100.22,100.37,8.212
2014-04-23,100.59,100.95,100.33,100.5,8.686
2014-04-24,100.48,100.6,99.86,100.01,9.058
2014-04-25,99.99,100.57,99.93,100.41,10.392
2014-04-28,100.72,101.46,100.31,101.17,12.711
2014-04-29,101.57,102.57,101.23,101.45,10.095
2014-04-30,101.13,102.41,100.71,102.41,13.967
2014-05-01,101.96,102.39,101.2,101.41,11.162
2014-05-02,101.28,102.91,100.98,102.01,11.168
2014-05-05,101.69,103.13,101.58,102.91,7.614
2014-05-06,102.6,103.3,102.41,102.67,9.67
2014-05-07,103.12,103.45,102.79,103.11,11.007
2014-05-08,103.09,103.29,102.17,102.32,8.922
2014-05-09,101.71,102.18,101.26,101.95,8.949
2014-05-12,102.33,102.35,101.53,102.23,8.83
2014-05-13,102.18,102.71,101.94,102.36,7.529
2014-05-14,102.36,102.68,102.11,102.29,6.999
2014-05-15,102.0,102.42,100.33,100.78,13.659
2014-05-16,100.59,101.0,100.32,100.74,10.369
2014-05-19,100.42,101.11,100.42,100.87,5.851
2014-05-20,100.69,101.08,100.45,100.67,6.134
2014-05-21,100.85,102.22,100.72,102.03,7.748
2014-05-22,101.81,101.97,101.47,101.5,5.304
2014-05-23,101.55,101.93,101.27,101.32,5.411
2014-05-27,101.61,101.9,100.93,101.36,8.36
2014-05-28,101.23,102.07,101.05,101.06,7.587
2014-05-29,101.54,101.65,101.02,101.27,6.114
2014-05-30,100.8,101.15,100.37,100.53,11.499
2014-06-02,100.53,100.88,99.67,99.94,7.761
2014-06-03,99.59,100.69,99.59,100.39,9.384
