Date,Open,High,Low,Close,Volume
2014-01-02,47.94,48.31,47.78,47.96,1.025
2014-01-03,48.24,48.43,47.96,48.19,0.623
2014-01-06,48.32,48.44,47.74,47.9,0.987
2014-01-07,48.05,48.74,48.01,48.64,2.218
2014-01-08,48.75,48.98,48.57,48.73,0.802
2014-01-09,48.67,48.95,48.57,48.91,0.628
2014-01-10,48.88,49.13,48.73,48.95,2.029
2014-01-13,48.95,49.0,48.23,48.31,0.73
2014-01-14,48.48,48.86,48.33,48.73,0.608
2014-01-15,48.86,48.88,48.29,48.31,0.958
2014-01-16,48.14,48.38,48.03,48.26,1.046
2014-01-17,48.34,48.34,47.85,47.9,1.008
2014-01-21,48.32,48.72,47.96,48.02,1.013
2014-01-22,47.93,48.39,47.62,47.78,0.736
2014-01-23,47.42,48.04,46.91,47.03,1.361
2014-01-24,46.76,46.91,45.83,45.84,1.521
2014-01-27,43.8,46.1,42.99,45.86,1.145
2014-01-28,45.75,46.47,45.34,46.19,1.141
2014-01-29,45.86,46.4,45.72,46.05,0.666
2014-01-30,46.31,46.81,46.1,46.6,0.809
2014-01-31,46.03,46.24,45.7,46.14,0.715
2014-02-03,46.2,46.34,44.91,44.95,1.195
2014-02-04,45.17,45.19,44.58,44.92,1.164
2014-02-05,44.72,45.16,44.46,44.98,0.592
2014-02-06,45.01,45.39,44.7,45.32,0.928
2014-02-07,45.45,45.73,45.22,45.61,0.911
2014-02-10,45.68,45.9,45.38,45.83,1.062
2014-02-11,45.71,46.44,45.42,46.28,0.818
2014-02-12,46.2,46.61,45.87,45.97,1.015
2014-02-13,45.64,46.45,45.29,45.99,1.12
2014-02-14,46.01,46.67,45.81,46.24,1.68
2014-02-18,43.0,45.92,43.0,45.69,2.367
2014-02-19,45.17,45.52,44.55,44.69,1.305
2014-02-20,44.98,45.52,44.6,45.47,0.896
2014-02-21,45.45,45.76,44.98,45.0,2.21
2014-02-24,45.17,45.52,44.97,45.11,1.18
2014-02-25,45.04,45.51,44.96,45.29,1.31
2014-02-26,45.31,45.65,45.08,45.16,1.132
2014-02-27,45.25,45.46,45.2,45.39,1.444
2014-02-28,45.52,45.68,45.01,45.38,1.373
2014-03-03,45.29,45.62,44.91,44.94,1.136
2014-03-04,45.29,46.31,45.24,46.17,1.061
2014-03-05,46.14,46.23,45.81,46.13,0.939
2014-03-06,46.19,46.5,45.83,45.89,0.976
2014-03-07,46.09,46.89,45.87,46.86,1.21
2014-03-10,46.87,47.03,46.2,46.44,0.732
2014-03-11,46.53,46.62,46.1,46.2,0.421
2014-03-12,46.03,46.38,45.71,45.79,0.715
2014-03-13,45.85,46.0,45.11,45.29,0.57
2014-03-14,45.29,45.42,44.76,44.86,0.936
2014-03-17,45.12,45.67,45.12,45.56,0.816
2014-03-18,45.66,45.92,45.39,45.88,0.6
2014-03-19,45.8,46.18,45.53,45.78,0.473
2014-03-20,45.66,45.81,45.4,45.79,0.43
2014-03-21,46.24,46.35,45.54,45.73,1.116
2014-03-24,45.78,45.78,45.01,45.13,1.112
2014-03-25,45.34,45.71,45.08,45.55,1.018
2014-03-26,45.58,45.74,45.27,45.47,1.016
2014-03-27,45.56,45.56,45.14,45.21,0.602
2014-03-28,45.41,45.99,45.3,45.49,0.626
2014-03-31,45.66,46.19,45.41,46.04,0.783
2014-04-01,46.22,47.02,45.95,47.0,1.286
2014-04-02,47.07,47.71,46.76,47.65,1.522
2014-04-03,47.6,47.75,47.16,47.46,1.571
2014-04-04,47.66,47.87,46.73,46.85,0.923
2014-04-07,46.89,47.1,45.86,46.05,0.925
2014-04-08,45.87,46.53,45.62,46.11,1.391
2014-04-09,46.17,46.48,45.88,46.3,0.833
2014-04-10,46.37,46.37,45.04,45.06,0.972
2014-04-11,44.76,45.11,44.33,44.5,1.26
2014-04-14,44.82,45.04,44.06,44.51,0.875
2014-04-15,44.58,45.01,43.85,44.65,0.757
2014-04-16,44.87,44.87,44.21,44.7,0.758
2014-04-17,44.62,45.58,44.42,45.19,0.873
2014-04-21,45.32,45.47,44.97,45.29,0.692
2014-04-22,45.45,45.45,44.62,45.1,1.042
2014-04-23,45.08,45.43,44.82,45.04,1.078
2014-04-24,45.31,45.31,44.65,44.72,0.628
2014-04-25,44.58,44.88,44.17,44.34,1.112
2014-04-28,44.4,44.81,44.12,44.58,0.725
2014-04-29,44.8,45.03,44.51,44.53,0.55
2014-04-30,44.33,44.64,44.18,44.63,0.685
2014-05-01,44.73,45.2,44.46,44.98,0.802
2014-05-02,45.0,45.73,44.88,45.21,1.529
2014-05-05,44.98,45.72,44.67,45.47,1.828
2014-05-06,46.04,46.47,45.34,45.4,2.084
2014-05-07,45.52,45.83,45.2,45.71,1.873
2014-05-08,45.55,46.24,45.53,45.67,1.176
2014-05-09,45.44,46.26,45.34,46.15,0.95
2014-05-12,46.29,46.8,46.16,46.44,0.729
2014-05-13,46.45,46.65,46.31,46.58,0.74
2014-05-14,46.54,46.66,45.98,46.16,0.797
2014-05-15,46.02,46.22,45.57,45.96,0.675
2014-05-16,46.33,46.4,45.86,46.39,0.834
2014-05-19,46.3,46.81,46.19,46.67,0.585
2014-05-20,46.57,46.6,45.82,46.36,0.689
2014-05-21,46.5,46.9,46.25,46.77,0.401
2014-05-22,46.66,47.12,46.48,46.89,0.808
