Date,Open,High,Low,Close,Volume
2014-01-02,34.39,34.5,33.99,34.16,0.765
2014-01-03,34.15,34.85,34.15,34.47,0.454
2014-01-06,34.64,34.89,34.33,34.41,0.849
2014-01-07,34.47,34.84,34.4,34.51,0.611
2014-01-08,34.44,34.63,34.13,34.49,1.235
2014-01-09,34.55,34.77,34.37,34.63,0.761
2014-01-10,34.55,35.29,34.55,34.91,0.956
2014-01-13,34.89,35.3,34.83,35.02,1.857
2014-01-14,35.04,35.59,34.86,35.58,1.717
2014-01-15,35.78,36.44,35.78,36.37,2.145
2014-01-16,36.28,37.01,36.1,36.64,1.238
2014-01-17,36.76,37.05,36.43,36.57,0.868
2014-01-21,36.69,36.73,35.67,35.92,1.515
2014-01-22,36.27,36.64,36.0,36.49,1.207
2014-01-23,36.24,36.32,35.29,35.44,1.027
2014-01-24,35.24,35.31,33.64,33.68,1.575
2014-01-27,33.71,33.8,33.08,33.39,1.655
2014-01-28,33.54,34.01,33.43,33.91,0.91
2014-01-29,33.71,34.32,33.21,33.24,1.217
2014-01-30,33.57,33.68,33.33,33.36,1.398
2014-01-31,33.0,33.39,32.62,33.36,1.94
2014-02-03,33.36,33.52,32.63,32.8,3.087
2014-02-04,34.86,36.42,34.42,36.27,3.716
2014-02-05,36.31,36.48,35.39,35.52,2.204
2014-02-06,35.59,36.65,35.59,36.46,1.622
2014-02-07,36.74,37.22,36.66,36.96,1.436
2014-02-10,37.0,37.13,36.41,36.88,0.836
2014-02-11,37.01,37.41,36.85,37.1,1.414
2014-02-12,37.25,37.59,37.22,37.4,1.11
2014-02-13,37.17,37.84,37.02,37.84,1.03
2014-02-14,37.73,38.06,37.71,38.05,0.881
2014-02-18,38.24,38.73,38.07,38.57,1.426
2014-02-19,38.53,38.75,37.53,37.62,1.1
2014-02-20,37.76,38.79,37.66,38.71,0.852
2014-02-21,38.8,39.07,38.71,38.86,1.321
2014-02-24,38.92,39.79,38.77,39.4,1.168
2014-02-25,39.45,39.6,38.66,38.76,0.92
2014-02-26,38.93,39.44,38.71,39.25,1.06
2014-02-27,39.24,39.47,38.93,39.37,0.573
2014-02-28,39.28,39.54,39.06,39.35,0.867
2014-03-03,39.14,39.24,38.34,38.6,1.408
2014-03-04,38.98,39.2,38.57,38.79,1.493
2014-03-05,38.67,38.93,38.47,38.5,1.163
2014-03-06,38.5,38.86,38.26,38.3,1.523
2014-03-07,38.55,38.84,38.35,38.64,1.324
2014-03-10,38.5,38.58,37.83,38.05,0.97
2014-03-11,38.0,38.39,37.73,37.85,1.35
2014-03-12,37.6,37.82,37.25,37.4,0.931
2014-03-13,37.49,37.7,36.56,36.74,1.083
2014-03-14,36.65,37.18,36.65,36.79,0.863
2014-03-17,36.95,37.22,36.64,36.81,0.954
2014-03-18,36.9,36.93,36.71,36.78,0.92
2014-03-19,36.78,36.87,36.15,36.44,0.81
2014-03-20,36.29,36.58,35.88,36.34,1.078
2014-03-21,36.64,36.76,36.25,36.28,2.901
2014-03-24,36.42,36.72,35.7,35.71,1.101
2014-03-25,35.97,36.82,35.97,36.62,1.431
2014-03-26,36.77,36.95,35.82,35.84,0.762
2014-03-27,35.73,35.95,35.34,35.78,0.975
2014-03-28,35.83,36.31,35.78,36.0,0.626
2014-03-31,36.22,36.51,36.1,36.42,0.772
2014-04-01,36.47,37.25,36.35,37.15,1.386
2014-04-02,37.14,37.78,36.95,37.77,1.346
2014-04-03,37.8,37.93,37.24,37.27,1.576
2014-04-04,37.47,37.88,37.25,37.3,1.544
2014-04-07,37.22,37.35,36.05,36.38,1.381
2014-04-08,36.23,36.55,35.97,36.04,1.469
2014-04-09,36.21,37.03,35.98,37.01,0.813
2014-04-10,37.12,37.12,35.88,35.91,1.586
2014-04-11,35.97,36.29,35.11,35.22,1.295
2014-04-14,35.45,35.47,34.77,35.12,1.138
2014-04-15,35.12,35.18,34.5,34.89,1.392
2014-04-16,35.15,35.76,34.93,35.49,1.107
2014-04-17,35.53,35.73,35.23,35.3,1.432
2014-04-21,35.31,35.59,35.02,35.52,0.606
2014-04-22,35.53,35.94,35.38,35.71,0.635
2014-04-23,35.61,35.9,35.57,35.68,0.51
2014-04-24,35.91,36.2,35.43,35.8,0.834
2014-04-25,35.63,35.63,35.02,35.41,0.929
2014-04-28,35.67,35.73,34.93,35.36,1.091
2014-04-29,37.39,37.58,36.08,36.44,1.478
2014-04-30,37.15,37.64,36.63,37.59,1.766
2014-05-01,37.53,37.61,36.72,36.96,1.23
2014-05-02,37.0,37.36,36.83,36.86,0.777
2014-05-05,36.63,37.02,36.33,36.77,0.528
2014-05-06,36.71,37.14,36.53,36.93,0.716
2014-05-07,37.18,37.28,36.69,37.22,0.641
2014-05-08,38.5,38.5,36.93,37.3,0.703
2014-05-09,37.18,37.19,36.75,37.19,0.432
2014-05-12,37.46,38.06,37.31,38.03,0.714
2014-05-13,38.15,38.37,37.87,37.96,0.786
2014-05-14,37.95,38.02,37.53,37.76,0.649
2014-05-15,37.57,37.7,37.04,37.23,0.668
2014-05-16,37.16,37.28,36.65,36.9,0.938
2014-05-19,36.74,37.95,36.61,37.9,0.94
2014-05-20,37.81,37.94,37.1,37.28,1.015
2014-05-21,37.35,38.34,37.29,37.82,2.069
2014-05-22,37.82,38.21,37.65,37.95,0.953
2014-05-23,37.93,38.65,37.76,38.42,1.272
2014-05-27,38.56,38.91,38.43,38.54,0.55
2014-05-28,38.5,38.63,38.14,38.16,0.741
2014-05-29,38.13,38.18,36.5,36.75,2.808
