Date,Open,High,Low,Close,Volume
2014-01-02,54.19,54.36,53.8,53.98,2.721
2014-01-03,54.25,54.71,53.92,54.32,2.027
2014-01-06,54.29,54.74,54.13,54.28,4.084
2014-01-07,55.28,55.51,54.95,55.04,5.035
2014-01-08,55.13,55.59,54.79,55.02,6.188
2014-01-09,53.85,54.28,53.74,53.95,5.248
2014-01-10,54.21,54.57,53.75,53.93,3.592
2014-01-13,53.93,54.0,52.71,52.77,4.835
2014-01-14,52.85,53.29,52.59,52.65,6.22
2014-01-15,52.65,53.06,52.47,52.6,4.402
2014-01-16,52.66,53.08,51.94,51.98,5.27
2014-01-17,52.07,52.24,51.67,51.83,5.164
2014-01-21,52.27,52.38,51.04,51.15,5.081
2014-01-22,51.49,51.7,51.12,51.29,4.398
2014-01-23,50.71,50.81,49.83,50.18,6.458
2014-01-24,49.83,50.17,49.48,49.48,5.825
2014-01-27,49.45,49.54,48.21,48.77,6.49
2014-01-28,48.95,49.32,48.78,49.03,4.342
2014-01-29,48.71,48.83,47.35,47.81,9.568
2014-01-30,48.06,48.15,47.57,47.88,6.08
2014-01-31,47.54,48.59,47.33,48.27,7.494
2014-02-03,48.43,48.93,47.33,47.56,9.392
2014-02-04,51.47,52.18,50.72,51.8,19.679
2014-02-05,51.58,51.58,50.21,50.71,7.912
2014-02-06,50.82,51.66,50.72,51.16,4.737
2014-02-07,51.47,52.08,51.37,51.57,3.965
2014-02-10,51.76,52.34,51.52,52.31,5.053
2014-02-11,52.44,52.93,52.26,52.63,4.989
2014-02-12,52.72,53.03,52.65,52.85,4.22
2014-02-13,52.52,53.12,52.38,53.07,3.078
2014-02-14,52.84,53.13,52.55,52.78,4.026
2014-02-18,52.77,53.01,52.46,52.65,3.909
2014-02-19,52.87,53.24,52.31,52.35,3.123
2014-02-20,52.41,52.71,52.08,52.47,2.763
2014-02-21,52.44,52.64,52.03,52.37,2.921
2014-02-24,52.39,52.77,52.29,52.46,2.503
2014-02-25,52.48,53.06,52.14,52.68,3.142
2014-02-26,52.73,53.01,52.51,52.76,3.506
2014-02-27,52.76,53.32,52.75,53.05,2.98
2014-02-28,53.08,53.44,52.77,53.26,3.304
2014-03-03,52.72,53.03,52.26,52.92,3.365
2014-03-04,53.55,53.84,53.46,53.66,3.709
2014-03-05,53.87,53.89,53.44,53.78,2.703
2014-03-06,54.46,55.9,54.46,55.56,7.327
2014-03-07,55.63,55.85,55.0,55.47,4.112
2014-03-10,55.28,55.67,55.02,55.64,3.366
2014-03-11,55.61,56.04,55.36,55.59,3.25
2014-03-12,55.37,55.6,55.23,55.44,2.766
2014-03-13,55.53,55.72,54.35,54.51,3.278
