#,Company,Symbol,Weight,Price,Chg,% Chg
1,Unitedhealth Group Inc,UNH,8.19364,491.76,-2.47,(-0.50%)
2,Microsoft Corp,MSFT,7.049717,429.55,4.31,(1.01%)
3,Goldman Sachs Group Inc,GS,6.572916,413.54,17.07,(4.31%)
4,Home Depot Inc,HD,6.372979,395.25,10.83,(2.82%)
5,Caterpillar Inc,CAT,5.909441,364.54,8.09,(2.27%)
6,Salesforce Inc,CRM,5.074377,308.85,2.77,(0.90%)
7,Visa Inc Class A Shares,V,4.795857,290.45,1.17,(0.40%)
8,Mcdonald S Corp,MCD,4.715782,283.39,-1.06,(-0.37%)
9,Amgen Inc,AMGN,4.526786,278.60,5.55,(2.03%)
10,American Express Co,AXP,3.778428,227.59,-0.32,(-0.14%)
11,Travelers Cos Inc,TRV,3.730019,226.30,1.30,(0.58%)
12,Honeywell International Inc,HON,3.335282,201.70,0.51,(0.26%)
13,Jpmorgan Chase & Co,JPM,3.254876,198.93,2.59,(1.32%)
14,Intl Business Machines Corp,IBM,3.215585,192.29,-1.67,(-0.86%)
15,Boeing Co,BA,3.113129,187.85,0.07,(0.04%)
16,Apple Inc,AAPL,2.962098,171.66,-7.01,(-3.92%)
17,Amazon.com Inc,AMZN,2.953477,178.29,0.13,(0.08%)
18,Procter & Gamble Co,PG,2.685567,161.87,-0.12,(-0.07%)
19,Johnson & Johnson,JNJ,2.582282,155.84,0.08,(0.05%)
20,Chevron Corp,CVX,2.562222,154.81,0.26,(0.17%)
21,Merck & Co. Inc.,MRK,2.053259,123.11,-0.74,(-0.60%)
22,Walt Disney Co,DIS,1.930743,116.93,0.47,(0.40%)
23,3m Co,MMM,1.792312,107.90,-0.21,(-0.19%)
24,Nike Inc  Cl B,NKE,1.662336,104.88,4.61,(4.60%)
25,Walmart Inc,WMT,1.015439,61.41,0.16,(0.25%)
26,Coca Cola Co,KO,1.00715,60.53,-0.23,(-0.37%)
27,Dow Inc,DOW,0.964377,58.12,-0.05,(-0.09%)
28,Cisco Systems Inc,CSCO,0.821469,49.89,0.34,(0.69%)
29,Intel Corp,INTC,0.699617,42.44,0.23,(0.56%)
30,Verizon Communications Inc,VZ,0.665133,40.56,0.44,(1.08%)
