#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Microsoft Corp,MSFT,7.21%,429.55,4.31,(1.01%)
2,Apple Inc.,AAPL,5.88%,171.66,-7.01,(-3.92%)
3,Nvidia Corp,NVDA,5.08%,912.58,8.86,(0.98%)
4,Amazon.com Inc,AMZN,3.70%,178.29,0.13,(0.08%)
5,"Meta Platforms, Inc. Class A",META,2.51%,508.61,3.09,(0.61%)
6,Alphabet Inc. Class A,GOOGL,1.99%,147.58,-1.16,(-0.78%)
7,Berkshire Hathaway Class B,BRK-B,1.72%,413.57,-2.54,(-0.61%)
8,Alphabet Inc. Class C,GOOG,1.68%,148.71,-0.97,(-0.65%)
9,Eli Lilly & Co.,LLY,1.42%,774.00,1.14,(0.15%)
10,Jpmorgan Chase & Co.,JPM,1.29%,198.93,2.59,(1.32%)
11,Broadcom Inc.,AVGO,1.25%,"1,350.03",74.03,(5.80%)
12,"Tesla, Inc.",TSLA,1.09%,172.97,-2.69,(-1.53%)
13,Unitedhealth Group Incorporated,UNH,1.05%,491.76,-2.47,(-0.50%)
14,Visa Inc.,V,1.05%,290.45,1.17,(0.40%)
15,Exxon Mobil Corporation,XOM,1.03%,113.55,0.56,(0.50%)
16,Mastercard Incorporated,MA,0.92%,485.79,-2.25,(-0.46%)
17,Procter & Gamble Company,PG,0.88%,161.87,-0.12,(-0.07%)
18,"Home Depot, Inc.",HD,0.87%,395.25,10.83,(2.82%)
19,Johnson & Johnson,JNJ,0.87%,155.84,0.08,(0.05%)
20,Costco Wholesale Corp,COST,0.75%,743.49,2.77,(0.37%)
21,Abbvie Inc.,ABBV,0.73%,178.41,2.14,(1.21%)
22,"Merck & Co., Inc.",MRK,0.71%,123.11,-0.74,(-0.60%)
23,Advanced Micro Devices,AMD,0.67%,178.52,-1.21,(-0.67%)
24,"Salesforce, Inc.",CRM,0.67%,308.85,2.77,(0.90%)
25,Chevron Corporation,CVX,0.63%,154.81,0.26,(0.17%)
